source,target,weight
Queen Mary University of London,University of Copenhagen,2.0
Queen Mary University of London,University of Western Australia,2.0
Queen Mary University of London,ServiceNow (United States),2.0
Queen Mary University of London,CentraleSupélec,2.0
Queen Mary University of London,Telefonica Research and Development,2.0
Queen Mary University of London,Massachusetts Institute of Technology,2.0
Queen Mary University of London,Humboldt-Universität zu Berlin,2.0
Queen Mary University of London,University of Michigan–Ann Arbor,2.0
Queen Mary University of London,British Library,2.0
Queen Mary University of London,King Fahd University of Petroleum and Minerals,2.0
Queen Mary University of London,Prince Sattam Bin Abdulaziz University,2.0
Queen Mary University of London,University of the Basque Country,4.0
Queen Mary University of London,Allen Institute for Artificial Intelligence,2.0
Queen Mary University of London,University of Mannheim,2.0
Queen Mary University of London,Cornell University,2.0
Queen Mary University of London,Saarland University,2.0
Queen Mary University of London,Viet Tri University of Industry,4.0
Queen Mary University of London,Amazon (United States),4.0
Queen Mary University of London,King's College Hospital,8.0
Queen Mary University of London,Chinese Academy of Sciences,6.0
Queen Mary University of London,Tianjin University,6.0
Queen Mary University of London,The University of Texas at Austin,6.0
Queen Mary University of London,Microsoft (India),6.0
Queen Mary University of London,University of Cambridge,6.0
Queen Mary University of London,University of Ljubljana,6.0
Queen Mary University of London,Machine Intelligence Research Labs,6.0
Queen Mary University of London,Indian Institute of Technology Kharagpur,6.0
Queen Mary University of London,Western University,6.0
Queen Mary University of London,UNSW Sydney,6.0
Queen Mary University of London,University of Birmingham,6.0
Queen Mary University of London,Cardiff University,6.0
Queen Mary University of London,TU Wien,6.0
Queen Mary University of London,University of Manchester,6.0
Queen Mary University of London,University of Melbourne,6.0
Queen Mary University of London,The Alan Turing Institute,2.0
Queen Mary University of London,O. P. Jindal Global University,2.0
Queen Mary University of London,Indian Institute of Tropical Meteorology,4.0
Queen Mary University of London,Defence Institute of Advanced Technology,2.0
Queen Mary University of London,Loughborough University,2.0
Queen Mary University of London,National Research University Higher School of Economics,2.0
Queen Mary University of London,Sorbonne Paris Cité,2.0
Queen Mary University of London,Skolkovo Institute of Science and Technology,4.0
Queen Mary University of London,Steklov Mathematical Institute,2.0
Queen Mary University of London,University of Colorado Anschutz Medical Campus,38.0
Queen Mary University of London,Lawrence Berkeley National Laboratory,14.0
Queen Mary University of London,Critical Path Institute,8.0
Queen Mary University of London,University of Fribourg,2.0
Queen Mary University of London,European Bioinformatics Institute,10.0
Queen Mary University of London,Oregon State University,2.0
Queen Mary University of London,Johns Hopkins University,6.0
Queen Mary University of London,University of Milan,2.0
Queen Mary University of London,William Harvey Research Institute,2.0
Queen Mary University of London,Jackson Laboratory,2.0
Queen Mary University of London,Institute for Scientific Interchange,4.0
Queen Mary University of London,Athens University of Economics and Business,6.0
Queen Mary University of London,Max Planck Institute for Human Cognitive and Brain Sciences,4.0
Queen Mary University of London,Medical College of Wisconsin,4.0
Queen Mary University of London,HTW Berlin - University of Applied Sciences,2.0
Queen Mary University of London,Riga Technical University,2.0
Queen Mary University of London,Uppsala University,2.0
Queen Mary University of London,Masaryk University,4.0
Queen Mary University of London,University of Monterrey,2.0
Queen Mary University of London,University of Leeds,2.0
Queen Mary University of London,University Hospital Regensburg,8.0
Queen Mary University of London,Ludwig-Maximilians-Universität München,2.0
Queen Mary University of London,Brigham and Women's Hospital,2.0
Queen Mary University of London,Technical University of Munich,2.0
Queen Mary University of London,Friedrich Schiller University Jena,2.0
Queen Mary University of London,California Northstate University,2.0
Queen Mary University of London,University of Jyväskylä,2.0
Queen Mary University of London,Shahid Beheshti University of Medical Sciences,6.0
Queen Mary University of London,Islamic Azad University Dental Branch of Tehran,2.0
Queen Mary University of London,University of Tehran,2.0
Queen Mary University of London,Golestan University,2.0
Queen Mary University of London,University of Southern California,2.0
Queen Mary University of London,University of Sydney,2.0
Queen Mary University of London,King Faisal University,2.0
Queen Mary University of London,University of Udine,12.0
Queen Mary University of London,New York University,4.0
Queen Mary University of London,Mohamed bin Zayed University of Artificial Intelligence,2.0
Queen Mary University of London,National Assembly,12.0
Fisher Bioservices (United States),"University of California, San Francisco",14.0
Fisher Bioservices (United States),San Diego Supercomputer Center,2.0
Fisher Bioservices (United States),Institute for Systems Biology,4.0
Fisher Bioservices (United States),Computational Sciences (United States),6.0
Roche (Italy),Politecnico di Milano,6.0
Institut d'Etudes Politiques de Paris,Laboratoire de Biologie Computationnelle et Quantitative,4.0
Institut d'Etudes Politiques de Paris,Centre de Recherche en Économie et Statistique,4.0
Institut d'Etudes Politiques de Paris,Utrecht University,2.0
Christopher Newport University,Old Dominion University,8.0
National University Heart Centre Singapore,National University Health System,86.0
National University Heart Centre Singapore,Ng Teng Fong General Hospital,14.0
National University Heart Centre Singapore,Brigham and Women's Hospital,16.0
National University Heart Centre Singapore,University Medical Center Groningen,2.0
National University Heart Centre Singapore,Duke Medical Center,2.0
National University Heart Centre Singapore,Yale University,2.0
National University Heart Centre Singapore,Saint Luke's Hospital,2.0
National University Heart Centre Singapore,Universidad Nacional de Córdoba,2.0
National University Heart Centre Singapore,Northwestern University,2.0
National University Heart Centre Singapore,British Heart Foundation,4.0
National University Heart Centre Singapore,Minneapolis VA Health Care System,2.0
Central Bank of Luxembourg,University of Luxembourg,6.0
Lingnan Normal University,Guangdong University of Foreign Studies,6.0
Lingnan Normal University,South China Normal University,2.0
Lingnan Normal University,Beihang University,2.0
Lingnan Normal University,Institute of Automation,2.0
Lingnan Normal University,Soochow University,2.0
Lingnan Normal University,Guangdong University of Technology,4.0
Lingnan Normal University,Peking University,2.0
Joint Institute for Nuclear Research,ITMO University,8.0
Instituto de Ciencias de La Construcción Eduardo Torroja,Escuela Nacional de Sanidad,2.0
Institute of Croatian Language and Linguistics,University College Dublin,4.0
New York Hospital Queens,University of Calgary,14.0
New York Hospital Queens,Medical University of Vienna,2.0
New York Hospital Queens,University of Tübingen,2.0
New York Hospital Queens,University of British Columbia,2.0
New York Hospital Queens,Harvard University,2.0
New York Hospital Queens,Hokkaido University,2.0
New York Hospital Queens,Dalhousie University,2.0
New York Hospital Queens,Northwestern University,14.0
New York Hospital Queens,The University of Texas at Austin,2.0
Indonesian Agency for Agricultural Research and Development,Sriwijaya University,20.0
Indonesian Agency for Agricultural Research and Development,Padjadjaran University,20.0
Janbazan Medical and Engineering Research Center,University of Queensland,10.0
Jerusalem College of Technology,Ariel University,10.0
Jerusalem College of Technology,Institut de Radioprotection et de Sûreté Nucléaire,16.0
Jerusalem College of Technology,Shaare Zedek Medical Center,10.0
Jerusalem College of Technology,Hamilton Health Sciences,2.0
Jerusalem College of Technology,Tel Aviv University,4.0
National Institute of Technology Calicut,Robert Bosch (India),4.0
Stevenson University,"University at Buffalo, State University of New York",8.0
Stevenson University,University of Georgia,2.0
Stevenson University,Stanford University,4.0
Stevenson University,Google (United States),2.0
Sidi Mohamed Ben Abdellah University,Université Ibn-Tofail,12.0
Sidi Mohamed Ben Abdellah University,United States National Library of Medicine,4.0
Sidi Mohamed Ben Abdellah University,Centre National de la Recherche Scientifique,2.0
Sidi Mohamed Ben Abdellah University,Atos (France),6.0
Sidi Mohamed Ben Abdellah University,Centre National pour la Recherche Scientifique et Technique (CNRST),6.0
Sidi Mohamed Ben Abdellah University,Université Mohammed VI Polytechnique,6.0
Sidi Mohamed Ben Abdellah University,Mohamed I University,6.0
Sidi Mohamed Ben Abdellah University,Al Akhawayn University,4.0
Sidi Mohamed Ben Abdellah University,Chouaib Doukkali University,2.0
Shenzhen KangNing Hospital,Shenzhen University,12.0
Shenzhen KangNing Hospital,Harbin Institute of Technology,4.0
Shenzhen KangNing Hospital,Jinzhou Kangning Hospital,8.0
Shenzhen KangNing Hospital,Peng Cheng Laboratory,4.0
Obstetrics and Gynecology Hospital of Fudan University,Fudan University,8.0
Obstetrics and Gynecology Hospital of Fudan University,Ruijin Hospital,12.0
TU Dresden,Center for Systems Biology Dresden,12.0
TU Dresden,Lead City University,4.0
TU Dresden,Catholic University of Eichstätt-Ingolstadt,4.0
TU Dresden,Universität Hamburg,4.0
TU Dresden,Saarland University,2.0
TU Dresden,Michigan State University,2.0
TU Dresden,University of Oxford,2.0
TU Dresden,"University of California, Los Angeles",2.0
TU Dresden,Western Michigan University,2.0
TU Dresden,Deutsches Herzzentrum der Charité,2.0
TU Dresden,Universitätsklinikum Aachen,8.0
TU Dresden,Heidelberg University,6.0
TU Dresden,National Center for Tumor Diseases,16.0
TU Dresden,Klinik und Poliklinik für Psychotherapie und Psychosomatik,12.0
TU Dresden,Technical University of Munich,6.0
TU Dresden,Fresenius (Germany),8.0
TU Dresden,University of Chile,2.0
TU Dresden,University of Bamberg,2.0
TU Dresden,Lund University,40.0
TU Dresden,ITMO University,40.0
TU Dresden,University Hospital Frankfurt,40.0
TU Dresden,Goethe University Frankfurt,4.0
Quaid-i-Azam University,University of Peshawar,2.0
Quaid-i-Azam University,Abdul Wali Khan University Mardan,2.0
Centre Hospitalier Le Vinatier,Université Libre de Bruxelles,2.0
Centre Hospitalier Le Vinatier,FHU Neurovasc,2.0
Centre Hospitalier Le Vinatier,Université Côte d'Azur,2.0
Centre Hospitalier Le Vinatier,Centre Hospitalier Universitaire Amiens-Picardie,2.0
Centre Hospitalier Le Vinatier,Université Clermont Auvergne,2.0
Centre Hospitalier Le Vinatier,Hôpital de la Timone,4.0
Centre Hospitalier Le Vinatier,Institut de Neurosciences des Systèmes,2.0
Centre Hospitalier Le Vinatier,UCLouvain,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Siddhartha Medical College,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Universitas Muhammadiyah Sumatera Barat,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,National Institute of Technology Durgapur,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Sultan Zainal Abidin University,4.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Mongolian National University of Education,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Hindustan Institute of Technology and Science,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Universal Engineering College,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Mahsa University,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Sri Ramachandra Institute of Higher Education and Research,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Saveetha University,4.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Vels University,4.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Dr. M.G.R. Educational and Research Institute,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Auro University,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,University of Reggio Calabria,2.0
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Koneru Lakshmaiah Education Foundation,2.0
Stony Brook University Hospital,Rosalind Franklin University of Medicine and Science,10.0
Stony Brook University Hospital,Stony Brook University,28.0
Stony Brook University Hospital,Northwestern University,14.0
Heilongjiang Academy of Sciences,China Academy of Space Technology,2.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,Technische Universität Berlin,6.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,University of Göttingen,12.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,National Institute of Informatics,6.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,Télécom Paris,2.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,Laboratoire d'Informatique de Paris-Nord,2.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,RELX Group (Netherlands),2.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,The Open University,2.0
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,University of Cagliari,2.0
Universitas Teuku Umar,Universitas Pembangunan Nasional Veteran Jakarta,2.0
Universitas Teuku Umar,Universitas Pamulang,4.0
Universitas Teuku Umar,Universitas Teknokrat Indonesia,2.0
Start Making A Reader Today,Chinese University of Hong Kong,8.0
Huawei Technologies (Sweden),Beijing Academy of Artificial Intelligence,2.0
Huawei Technologies (Sweden),Tsinghua University,74.0
Huawei Technologies (Sweden),Hong Kong University of Science and Technology,6.0
Huawei Technologies (Sweden),Columbia University,4.0
Huawei Technologies (Sweden),Wuhan National Laboratory for Optoelectronics,20.0
Huawei Technologies (Sweden),Huawei Technologies (United Kingdom),20.0
Huawei Technologies (Sweden),"University of Maryland, College Park",4.0
Huawei Technologies (Sweden),King University,10.0
Huawei Technologies (Sweden),Amazon (Germany),6.0
Huawei Technologies (Sweden),Chinese University of Hong Kong,86.0
Huawei Technologies (Sweden),Laboratoire d'Informatique Fondamentale de Lille,8.0
Huawei Technologies (Sweden),Skolkovo Institute of Science and Technology,16.0
Huawei Technologies (Sweden),National Research University Higher School of Economics,10.0
Huawei Technologies (Sweden),Renmin University of China,16.0
Huawei Technologies (Sweden),Moscow State University,2.0
Huawei Technologies (Sweden),Novosibirsk State University,2.0
Huawei Technologies (Sweden),Innopolis University,2.0
Huawei Technologies (Sweden),Sociedade Brasileira Infectologia,2.0
Huawei Technologies (Sweden),Shenzhen Institutes of Advanced Technology,14.0
Huawei Technologies (Sweden),Zhejiang Lab,10.0
Huawei Technologies (Sweden),University Town of Shenzhen,24.0
Huawei Technologies (Sweden),Peking University,16.0
Huawei Technologies (Sweden),National University of Singapore,18.0
Huawei Technologies (Sweden),"Entrepôts, Représentation et Ingénierie des Connaissances",2.0
Huawei Technologies (Sweden),LMU Klinikum,2.0
Huawei Technologies (Sweden),University of Waterloo,12.0
Huawei Technologies (Sweden),Chinese Academy of Sciences,8.0
Huawei Technologies (Sweden),Harbin Institute of Technology,2.0
Huawei Technologies (Sweden),Peng Cheng Laboratory,2.0
Huawei Technologies (Sweden),Université de Montréal,6.0
Huawei Technologies (Sweden),Sun Yat-sen University,16.0
Deutsches Herzzentrum der Charité,TU Dresden,2.0
Deutsches Herzzentrum der Charité,Universitätsklinikum Aachen,2.0
Deutsches Herzzentrum der Charité,University Hospital Regensburg,8.0
Deutsches Herzzentrum der Charité,University of California Hastings College of the Law,2.0
Deutsches Herzzentrum der Charité,Ludwig-Maximilians-Universität München,2.0
Deutsches Herzzentrum der Charité,Drexel University,2.0
Deutsches Herzzentrum der Charité,Illinois College,2.0
Deutsches Herzzentrum der Charité,University of Pittsburgh,2.0
Deutsches Herzzentrum der Charité,Regensburg University of Applied Sciences,2.0
An-Nan Hospital,National Taiwan University Hospital,4.0
An-Nan Hospital,"Institute of Biomedical Sciences, Academia Sinica",6.0
An-Nan Hospital,China Medical University,4.0
An-Nan Hospital,Mackay Medical College,2.0
An-Nan Hospital,National Yang Ming Chiao Tung University,4.0
An-Nan Hospital,Kaohsiung Medical University,2.0
An-Nan Hospital,Kaohsiung Chang Gung Memorial Hospital,2.0
An-Nan Hospital,National Defense Medical Center,6.0
An-Nan Hospital,Taoyuan Armed Forces General Hospital,2.0
An-Nan Hospital,National Sun Yat-sen University,2.0
An-Nan Hospital,I-Shou University,2.0
Jawaharlal Nehru Medical College,All India Institute of Medical Sciences Jodhpur,48.0
Jawaharlal Nehru Medical College,Post Graduate Institute of Medical Education and Research,12.0
Jawaharlal Nehru Medical College,Datta Meghe Institute of Medical Sciences,8.0
Jawaharlal Nehru Medical College,Universidad César Vallejo,4.0
Jawaharlal Nehru Medical College,Tribhuvan University Teaching Hospital,4.0
Jawaharlal Nehru Medical College,"All India Institute of Medical Sciences, Nagpur",4.0
Jawaharlal Nehru Medical College,Institute of Medical Sciences,4.0
Jawaharlal Nehru Medical College,PSG Institute of Medical Sciences & Research,4.0
Jawaharlal Nehru Medical College,ESIC Hospital,8.0
Jawaharlal Nehru Medical College,Saveetha University,4.0
Jawaharlal Nehru Medical College,Gulf Medical University,2.0
Universitas Atma Jaya Makassar,Institut Bisnis Nusantara,2.0
Universitas Atma Jaya Makassar,Universitas Subang,2.0
Universitas Atma Jaya Makassar,Mulawarman University,2.0
Salesforce (United States),Stanford University,18.0
Salesforce (United States),University of Waterloo,12.0
Salesforce (United States),Singapore Management University,2.0
Salesforce (United States),University of Illinois at Chicago,28.0
Salesforce (United States),Huazhong University of Science and Technology,10.0
Salesforce (United States),Carnegie Mellon University,8.0
Salesforce (United States),Chinese University of Hong Kong,18.0
Salesforce (United States),Arizona State University,16.0
Salesforce (United States),"University of California, San Francisco",30.0
Salesforce (United States),"University of California, Berkeley",10.0
Salesforce (United States),Lawrence Berkeley National Laboratory,10.0
Salesforce (United States),Michigan State University,6.0
Salesforce (United States),Beihang University,10.0
Salesforce (United States),Lehigh University,10.0
Salesforce (United States),Macquarie University,2.0
Salesforce (United States),Nanyang Technological University,10.0
Salesforce (United States),"University of California, San Diego",2.0
Salesforce (United States),Duke University,2.0
Salesforce (United States),Google (United States),8.0
Salesforce (United States),IBM (United States),4.0
Salesforce (United States),University of Technology Sydney,4.0
Salesforce (United States),University of Notre Dame,4.0
Salesforce (United States),University of Melbourne,4.0
Salesforce (United States),Columbia University,20.0
Salesforce (United States),University of Sydney,16.0
Salesforce (United States),Amazon (United States),2.0
Salesforce (United States),Universidad del Noreste,24.0
Salesforce (United States),"University of Maryland, College Park",14.0
Salesforce (United States),Beltsville Agricultural Research Center,2.0
Salesforce (United States),Harvard University,2.0
Salesforce (United States),Domel (Slovenia),2.0
Padjadjaran University,King Abdulaziz University,10.0
Padjadjaran University,Universitas Borobudur,2.0
Padjadjaran University,Binus University,2.0
Padjadjaran University,Gunadarma University,2.0
Padjadjaran University,Jambi University,4.0
Padjadjaran University,Universitas Katolik Widya Mandira,2.0
Padjadjaran University,Sumatera Institute of Technology,2.0
Padjadjaran University,Universitas Muhammadiyah Tapanuli Selatan,2.0
Padjadjaran University,Institut Seni Budaya Indonesia Bandung,2.0
Padjadjaran University,Universitas Langlangbuana,2.0
Padjadjaran University,Sepuluh Nopember Institute of Technology,4.0
Padjadjaran University,Indonesian Agency for Agricultural Research and Development,20.0
Padjadjaran University,Sriwijaya University,2.0
Padjadjaran University,Indonesia University of Education,4.0
Padjadjaran University,Universitas Komputer Indonesia,2.0
Padjadjaran University,Sunan Gunung Djati State Islamic University Bandung,2.0
Kyungil University,Seoul National University,14.0
Zimbabwe Open University,Neusoft (China),10.0
Zimbabwe Open University,Aba Teachers University,2.0
Zimbabwe Open University,Beihang University,2.0
İstanbul Sabahattin Zaim Üniversitesi,National University of Computer and Emerging Sciences,8.0
İstanbul Sabahattin Zaim Üniversitesi,"Balochistan University of Information Technology, Engineering and Management Sciences",24.0
University of Minho,Universidade Aberta,2.0
University of Minho,National Institute of Informatics,10.0
University of Minho,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,6.0
University of Minho,University of Trás-os-Montes and Alto Douro,8.0
University of Minho,Centro de Computação Gráfica,12.0
University of Minho,Polytechnic Institute of Bragança,8.0
University of Minho,University of Duisburg-Essen,4.0
University of Minho,University of Vienna,4.0
University of Minho,University of Toronto,4.0
University of Minho,Hella (Germany),2.0
University of Minho,Universidade do Porto,4.0
University of Minho,University of Jendouba,8.0
University of Minho,University of Sousse,4.0
University of Minho,University of Arkansas at Fayetteville,2.0
University of Minho,Hamad Medical Corporation,2.0
University of Minho,Hôpital Farhat Hached,2.0
University of Minho,Imam Khomeini International University,2.0
University of Minho,Yarmouk University,2.0
University of Minho,Kuala Lumpur Sports Medicine Centre,2.0
University of Minho,University of Social Welfare and Rehabilitation Sciences,2.0
University of Minho,Al-Furat Al-Awsat Technical University,2.0
University of Minho,Canadian University of Dubai,2.0
University of Minho,University of Aleppo,2.0
University of Minho,Atatürk University,2.0
University of Minho,Jeddah University,2.0
University of Minho,University of Gafsa,2.0
University of Minho,Zhejiang University,2.0
University of Minho,York University,2.0
University of Minho,Manouba University,2.0
University of Minho,Babeș-Bolyai University,2.0
University of Minho,University of Klagenfurt,2.0
University of Minho,University of Fribourg,2.0
University of Minho,FHNW University of Applied Sciences and Arts,2.0
University of Minho,FORTH Institute of Computer Science,2.0
University of Minho,Polytechnic Institute of Cávado and Ave,4.0
University of Minho,Centro Hospitalar do Porto,6.0
University of Minho,Hospitais da Universidade de Coimbra,6.0
University of Minho,Institute for Systems Engineering and Computers,4.0
Wipro (India),National Institute of Technology Agartala,8.0
Wipro (India),Indian Institute of Technology Patna,8.0
Medical Protective,Kingston University,8.0
Chosun University,Gachon University,8.0
Hiroshima University,Tokyo Woman's Christian University,2.0
Hiroshima University,Xi’an Jiaotong-Liverpool University,2.0
Hiroshima University,Yonsei University,6.0
Hiroshima University,Kyungpook National University,2.0
Hiroshima University,Kumamoto University Hospital,2.0
Hiroshima University,Nagoya University,6.0
Hiroshima University,Keio University,2.0
Hiroshima University,Kyoto University,2.0
Hiroshima University,Okayama University,2.0
Hiroshima University,Osaka University,4.0
Hiroshima University,Shinshu University,2.0
Hiroshima University,Hokkaido University Hospital,2.0
Hiroshima University,Hokkaido University,2.0
Hiroshima University,The University of Tokyo,8.0
Hiroshima University,Juntendo University,2.0
Hiroshima University,Tokyo Medical and Dental University,2.0
Hiroshima University,National Institute of Informatics,2.0
Instituto Federal do Piauí,Universidade Federal do Maranhão,2.0
Wm. Jennings Bryan Dorn VA Medical Center,New York University,4.0
