source,target,weight
University of Alabama at Birmingham,Rochester General Hospital,6.0
University of Alabama at Birmingham,City Of Hope National Medical Center,8.0
University of Alabama at Birmingham,Children's of Alabama,8.0
University of Alabama at Birmingham,City of Hope,48.0
University of Alabama at Birmingham,University of North Texas,8.0
University of Alabama at Birmingham,Northwestern University,20.0
University of Alabama at Birmingham,Cornell University,6.0
University of Alabama at Birmingham,University of Kentucky,8.0
University of Alabama at Birmingham,The University of Texas Southwestern Medical Center,14.0
University of Alabama at Birmingham,Michael E. DeBakey VA Medical Center,4.0
University of Alabama at Birmingham,Johns Hopkins Medicine,6.0
University of Alabama at Birmingham,University of Mississippi Medical Center,6.0
University of Alabama at Birmingham,University of North Carolina at Chapel Hill,4.0
University of Alabama at Birmingham,Albert Einstein College of Medicine,2.0
University of Alabama at Birmingham,Clinical Research Institute,2.0
University of Alabama at Birmingham,First Affiliated Hospital of Wenzhou Medical University,4.0
University of Alabama at Birmingham,Indiana University Bloomington,4.0
University of Alabama at Birmingham,Wenzhou Medical University,12.0
University of Alabama at Birmingham,Medical University of South Carolina,34.0
University of Alabama at Birmingham,Mayo Clinic,16.0
University of Alabama at Birmingham,NYU Langone Health,12.0
University of Alabama at Birmingham,Massachusetts General Hospital,32.0
University of Alabama at Birmingham,National Cancer Institute,8.0
University of Alabama at Birmingham,Washington University in St. Louis,12.0
University of Alabama at Birmingham,Memorial Sloan Kettering Cancer Center,8.0
University of Alabama at Birmingham,Cincinnati Children's Hospital Medical Center,14.0
University of Alabama at Birmingham,Johns Hopkins University,26.0
University of Alabama at Birmingham,University Medical Center Hamburg-Eppendorf,8.0
University of Alabama at Birmingham,Van Andel Institute,8.0
University of Alabama at Birmingham,University of Tennessee Health Science Center,2.0
University of Alabama at Birmingham,Office of Multidisciplinary Activities,10.0
University of Alabama at Birmingham,New York University,4.0
University of Alabama at Birmingham,Amicus Therapeutics (United States),4.0
University of Alabama at Birmingham,Boston University,38.0
University of Alabama at Birmingham,Tel Aviv University,6.0
University of Alabama at Birmingham,Tel Aviv Sourasky Medical Center,6.0
University of Alabama at Birmingham,University of Kansas Medical Center,10.0
University of Alabama at Birmingham,University of California System,2.0
University of Alabama at Birmingham,Auburn University,8.0
University of Alabama at Birmingham,National Heart Lung and Blood Institute,4.0
University of Alabama at Birmingham,Kaiser Permanente,2.0
University of Alabama at Birmingham,University of Minnesota System,2.0
University of Alabama at Birmingham,"University of California, San Francisco",18.0
University of Alabama at Birmingham,University of Minnesota,14.0
University of Alabama at Birmingham,University of Florida,2.0
University of Alabama at Birmingham,Indiana University – Purdue University Indianapolis,26.0
University of Alabama at Birmingham,Blue Marble Space,4.0
University of Alabama at Birmingham,Ames Research Center,14.0
University of Alabama at Birmingham,"Rutgers, The State University of New Jersey",2.0
University of Alabama at Birmingham,Matrix Research (United States),2.0
University of Alabama at Birmingham,Lawrence Berkeley National Laboratory,2.0
University of Alabama at Birmingham,Bay Area Environmental Research Institute,2.0
University of Alabama at Birmingham,Oak Ridge Associated Universities,2.0
University of Alabama at Birmingham,University of North Florida,2.0
University of Alabama at Birmingham,Baylor College of Medicine,2.0
University of Alabama at Birmingham,Translational Therapeutics (United States),2.0
University of Alabama at Birmingham,University of Wisconsin–Madison,2.0
University of Alabama at Birmingham,Georgia Institute of Technology,2.0
University of Alabama at Birmingham,Icahn School of Medicine at Mount Sinai,2.0
University of Alabama at Birmingham,University of Colorado Anschutz Medical Campus,4.0
University of Alabama at Birmingham,San Jose State University,2.0
University of Alabama at Birmingham,McGill University,2.0
University of Alabama at Birmingham,Imperial College London,2.0
University of Alabama at Birmingham,Johnson Space Center,2.0
University of Alabama at Birmingham,California Institute of Technology,4.0
University of Alabama at Birmingham,Salk Institute for Biological Studies,2.0
University of Alabama at Birmingham,Glenn Research Center,6.0
University of Alabama at Birmingham,Michigan State University,2.0
University of Alabama at Birmingham,Stanford University,2.0
University of Alabama at Birmingham,Universities Space Research Association,2.0
University of Alabama at Birmingham,Jet Propulsion Laboratory,4.0
University of Alabama at Birmingham,Stanford Medicine,2.0
University of Alabama at Birmingham,King's College London,2.0
University of Alabama at Birmingham,The University of Texas Medical Branch at Galveston,2.0
University of Alabama at Birmingham,Center for the Advancement of Science in Space,2.0
University of Alabama at Birmingham,Broad Institute,2.0
University of Alabama at Birmingham,"University of California, Los Angeles",26.0
University of Alabama at Birmingham,Center for Rheumatology,4.0
University of Alabama at Birmingham,Global Healthy Living Foundation,4.0
University of Alabama at Birmingham,University of Calgary,8.0
University of Alabama at Birmingham,Massachusetts Institute of Technology,4.0
University of Alabama at Birmingham,Toronto Western Hospital,2.0
University of Alabama at Birmingham,Queen Elizabeth II Health Sciences Centre,2.0
University of Alabama at Birmingham,McGill University Health Centre,4.0
University of Alabama at Birmingham,University of Birmingham,2.0
University of Alabama at Birmingham,Hanyang University Seoul Hospital,2.0
University of Alabama at Birmingham,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,2.0
University of Alabama at Birmingham,Mount Sinai Hospital,2.0
University of Alabama at Birmingham,Cedars-Sinai Medical Center,2.0
University of Alabama at Birmingham,University College London,4.0
University of Alabama at Birmingham,Oklahoma Medical Research Foundation,2.0
University of Alabama at Birmingham,Université Laval,2.0
University of Alabama at Birmingham,University of Toronto,4.0
University of Alabama at Birmingham,University of Manchester,2.0
University of Alabama at Birmingham,SUNY Downstate Health Sciences University,2.0
University of Alabama at Birmingham,Allegheny Health Network,2.0
University of Alabama at Birmingham,Lund University,2.0
University of Alabama at Birmingham,University of Amsterdam,2.0
University of Alabama at Birmingham,Feinstein Institute for Medical Research,4.0
University of Alabama at Birmingham,BioCruces Health research Institute,2.0
University of Alabama at Birmingham,Emory University,2.0
University of Alabama at Birmingham,Istanbul University,2.0
University of Alabama at Birmingham,"University of California, San Diego",6.0
University of Alabama at Birmingham,Copenhagen University Hospital,2.0
University of Alabama at Birmingham,University of Manitoba,2.0
University of Alabama at Birmingham,New York University Langone Orthopedic Hospital,2.0
University of Alabama at Birmingham,Brigham and Women's Hospital,30.0
University of Alabama at Birmingham,University of Illinois at Chicago,2.0
University of Alabama at Birmingham,Tufts University,6.0
University of Alabama at Birmingham,University of British Columbia Hospital,2.0
University of Alabama at Birmingham,University of Pennsylvania,18.0
University of Alabama at Birmingham,Columbia University,12.0
University of Alabama at Birmingham,Vanderbilt University Medical Center,18.0
University of Alabama at Birmingham,Columbia University Irving Medical Center,6.0
University of Alabama at Birmingham,Columbia College,6.0
University of Alabama at Birmingham,Harvard University,6.0
University of Alabama at Birmingham,University of Washington Medical Center,6.0
University of Alabama at Birmingham,Oak Ridge National Laboratory,12.0
University of Alabama at Birmingham,Clarion University,6.0
University of Alabama at Birmingham,Vanderbilt University,40.0
University of Alabama at Birmingham,Delft University of Technology,20.0
University of Alabama at Birmingham,University Hospital Bonn,10.0
University of Alabama at Birmingham,University of Colorado Denver,4.0
University of Alabama at Birmingham,Tempus Labs (United States),14.0
University of Alabama at Birmingham,The Ohio State University,2.0
University of Alabama at Birmingham,Palo Alto University,4.0
University of Alabama at Birmingham,Isfahan University of Technology,2.0
University of Alabama at Birmingham,Sultan Qaboos University,6.0
University of Alabama at Birmingham,University of Oulu,2.0
University of Alabama at Birmingham,Óbuda University,2.0
University of Alabama at Birmingham,Baptist Health South Florida,18.0
University of Alabama at Birmingham,Roswell Park Comprehensive Cancer Center,2.0
University of Alabama at Birmingham,University of Vermont,2.0
University of Alabama at Birmingham,Wake Forest University,2.0
University of Alabama at Birmingham,Mercy Health,26.0
Indrashil University,Uttaranchal University,8.0
Indrashil University,Amrita Vishwa Vidyapeetham,4.0
Indrashil University,Graphic Era University,4.0
Indrashil University,Kathmandu University,2.0
Indrashil University,Applied Science Private University,2.0
Indrashil University,Prince Sattam Bin Abdulaziz University,2.0
University of Social Welfare and Rehabilitation Sciences,Hamedan University of Medical Sciences,4.0
University of Social Welfare and Rehabilitation Sciences,Embry–Riddle Aeronautical University,2.0
University of Social Welfare and Rehabilitation Sciences,Macquarie University,2.0
University of Social Welfare and Rehabilitation Sciences,Polytechnic Institute of Porto,2.0
Universidad Cooperativa de Colombia,Corporación Universitaria Rafael Nuñez,2.0
Universidad Cooperativa de Colombia,University of the Coast,4.0
Universidad Cooperativa de Colombia,University of Cambridge,4.0
Universidad Cooperativa de Colombia,University of Kentucky,2.0
Universidad Cooperativa de Colombia,University of Crete,2.0
Universidad Cooperativa de Colombia,Universidad Nacional de Colombia,2.0
Universidad Cooperativa de Colombia,City University of Hong Kong,2.0
Universidad Cooperativa de Colombia,Hague Institute for Global Justice,4.0
Universidad Cooperativa de Colombia,University of Greenwich,4.0
Universidad Cooperativa de Colombia,University of St Andrews,2.0
Universidad Cooperativa de Colombia,Middlesex University,2.0
Universidad Cooperativa de Colombia,Pontificia Universidad Javeriana,2.0
Universidad Cooperativa de Colombia,Duke University,2.0
Universidad Cooperativa de Colombia,Global Brain Health Institute,2.0
Universidad Cooperativa de Colombia,Stockholm School of Economics,2.0
Universidad Cooperativa de Colombia,University of Belgrade,4.0
Universidad Cooperativa de Colombia,Vrije Universiteit Amsterdam,4.0
Universidad Cooperativa de Colombia,University of San Andrés,2.0
Universidad Cooperativa de Colombia,Aarhus University,10.0
Universidad Cooperativa de Colombia,University of Kent,2.0
Universidad Cooperativa de Colombia,Stanford University,2.0
Universidad Cooperativa de Colombia,Macquarie University,4.0
Universidad Cooperativa de Colombia,Norwegian School of Economics,2.0
Universidad Cooperativa de Colombia,Uniwersytet SWPS,4.0
Universidad Cooperativa de Colombia,University of Birmingham,4.0
Universidad Cooperativa de Colombia,KU Leuven,2.0
Universidad Cooperativa de Colombia,National Research University Higher School of Economics,4.0
Universidad Cooperativa de Colombia,University of Amsterdam,2.0
Universidad Cooperativa de Colombia,Sunway University,2.0
Universidad Cooperativa de Colombia,University of the Witwatersrand,2.0
Universidad Cooperativa de Colombia,Toronto Metropolitan University,2.0
Universidad Cooperativa de Colombia,University of Toronto,2.0
Universidad Cooperativa de Colombia,National University of Sciences and Technology,2.0
Universidad Cooperativa de Colombia,Comenius University Bratislava,2.0
Universidad Cooperativa de Colombia,Macedonian Academy of Sciences and Arts,2.0
Universidad Cooperativa de Colombia,Universidad de Huelva,2.0
Universidad Cooperativa de Colombia,University of Southampton,2.0
Universidad Cooperativa de Colombia,BRAC University,2.0
Universidad Cooperativa de Colombia,Hebrew University of Jerusalem,6.0
Universidad Cooperativa de Colombia,Erasmus University Rotterdam,2.0
Universidad Cooperativa de Colombia,University of Helsinki,6.0
Universidad Cooperativa de Colombia,University of Vienna,2.0
Universidad Cooperativa de Colombia,Aalto University,2.0
Universidad Cooperativa de Colombia,Universidad Nacional Autónoma de México,2.0
Universidad Cooperativa de Colombia,National Taiwan University,4.0
Universidad Cooperativa de Colombia,BI Norwegian Business School,2.0
Universidad Cooperativa de Colombia,University of Limerick,2.0
Universidad Cooperativa de Colombia,Karolinska Institutet,2.0
Universidad Cooperativa de Colombia,University of Agder,2.0
Universidad Cooperativa de Colombia,Lehigh University,2.0
Universidad Cooperativa de Colombia,Anusandhan Trust,2.0
Universidad Cooperativa de Colombia,Friedrich Schiller University Jena,2.0
Universidad Cooperativa de Colombia,ETH Zurich,2.0
Universidad Cooperativa de Colombia,University of Bayreuth,2.0
Universidad Cooperativa de Colombia,National School of Political Science and Public Administration,4.0
Universidad Cooperativa de Colombia,Medical University Plovdiv,4.0
Universidad Cooperativa de Colombia,Indian Institute of Management Indore,2.0
Universidad Cooperativa de Colombia,Institute of Social Sciences,2.0
Universidad Cooperativa de Colombia,Queensland University of Technology,2.0
Universidad Cooperativa de Colombia,Royal Holloway University of London,2.0
Universidad Cooperativa de Colombia,University of Latvia,2.0
Universidad Cooperativa de Colombia,New York University,2.0
Universidad Cooperativa de Colombia,University of Canterbury,2.0
Universidad Cooperativa de Colombia,Hebei University of Technology,2.0
Universidad Cooperativa de Colombia,José Rizal University,2.0
Universidad Cooperativa de Colombia,Telenor (Norway),2.0
Universidad Cooperativa de Colombia,Cheikh Anta Diop University,2.0
Universidad Cooperativa de Colombia,Universidad del Rosario,2.0
Universidad Cooperativa de Colombia,University of Melbourne,2.0
Universidad Cooperativa de Colombia,University of Wrocław,2.0
Universidad Cooperativa de Colombia,IMT School for Advanced Studies Lucca,2.0
Universidad Cooperativa de Colombia,University of Florence,2.0
Universidad Cooperativa de Colombia,London School of Economics and Political Science,2.0
Donostia Unibertsitate Ospitalea,KU Leuven,2.0
Donostia Unibertsitate Ospitalea,Hospital Universitari Germans Trias i Pujol,26.0
Donostia Unibertsitate Ospitalea,Hospital Universitario Virgen Macarena,2.0
Donostia Unibertsitate Ospitalea,University of Debrecen,6.0
Donostia Unibertsitate Ospitalea,Ospedale Garibaldi,4.0
Donostia Unibertsitate Ospitalea,Ondokuz Mayıs University,16.0
Donostia Unibertsitate Ospitalea,Box Hill Hospital,4.0
Donostia Unibertsitate Ospitalea,Hospital Universitario Reina Sofía,2.0
Donostia Unibertsitate Ospitalea,University of Melbourne,2.0
Donostia Unibertsitate Ospitalea,Hasselt University,4.0
Donostia Unibertsitate Ospitalea,Bakırköy Psychiatric Hospital,2.0
Donostia Unibertsitate Ospitalea,Farabi Hastanesi,2.0
Donostia Unibertsitate Ospitalea,Jewish General Hospital,2.0
Donostia Unibertsitate Ospitalea,Hospital Clínico San Carlos,2.0
Donostia Unibertsitate Ospitalea,Universidad Rovira i Virgili,8.0
Donostia Unibertsitate Ospitalea,Hospital Universitari Joan XXIII de Tarragona,2.0
Donostia Unibertsitate Ospitalea,St. James's Hospital,2.0
Donostia Unibertsitate Ospitalea,Hebron University,2.0
Donostia Unibertsitate Ospitalea,Corporació Sanitària Parc Taulí,2.0
Donostia Unibertsitate Ospitalea,Marqués de Valdecilla University Hospital,8.0
Donostia Unibertsitate Ospitalea,Hospital Universitario de La Princesa,2.0
Donostia Unibertsitate Ospitalea,Universidad Complutense de Madrid,2.0
Donostia Unibertsitate Ospitalea,Hospital Universitario de Burgos,4.0
Donostia Unibertsitate Ospitalea,Central University Hospital of Asturias,4.0
Donostia Unibertsitate Ospitalea,Hospital del Mar Research Institute,2.0
Donostia Unibertsitate Ospitalea,Hospital Universitario Príncipe de Asturias,2.0
Donostia Unibertsitate Ospitalea,Hospital Universitari i Politècnic La Fe,10.0
Donostia Unibertsitate Ospitalea,Complexo Hospitalario Universitario A Coruña,2.0
Institut de Robòtica i Informàtica Industrial,Tuxtla Gutierrez Institute of Technology,6.0
Institut de Robòtica i Informàtica Industrial,Instituto Tecnológico de Hermosillo,2.0
Institut de Robòtica i Informàtica Industrial,Universitat Politècnica de Catalunya,2.0
China University of Geosciences (Beijing),University of Chinese Academy of Sciences,2.0
China University of Geosciences (Beijing),Beijing Normal University,2.0
China University of Geosciences (Beijing),Jiangxi University of Science and Technology,8.0
China University of Geosciences (Beijing),Nanjing University,16.0
China University of Geosciences (Beijing),National Museum of Natural History,2.0
China University of Geosciences (Beijing),"University of California, Riverside",2.0
China University of Geosciences (Beijing),Chinese Academy of Sciences,18.0
China University of Geosciences (Beijing),Nanjing Institute of Geology and Paleontology,12.0
China University of Geosciences (Beijing),Chinese Academy of Civil Aviation Science and Technology,6.0
China University of Geosciences (Beijing),Soil Conservation and Watershed Management Research,2.0
China University of Geosciences (Beijing),Shiraz University,2.0
China University of Geosciences (Beijing),Tarbiat Modares University,10.0
China University of Geosciences (Beijing),National Engineering Research Center for Information Technology in Agriculture,8.0
China University of Geosciences (Beijing),University of Science and Technology Beijing,4.0
China University of Geosciences (Beijing),University of Waterloo,4.0
China University of Geosciences (Beijing),Xingtai University,6.0
China University of Geosciences (Beijing),"Islamic Azad University, Tehran",2.0
China University of Geosciences (Beijing),University of Burdwan,10.0
China University of Geosciences (Beijing),Shahrekord University,2.0
China University of Geosciences (Beijing),City University of Hong Kong,4.0
China University of Geosciences (Beijing),Renmin University of China,22.0
China University of Geosciences (Beijing),Sun Yat-sen University,6.0
China University of Geosciences (Beijing),Queensland University of Technology,16.0
China University of Geosciences (Beijing),National Research Tomsk State University,8.0
China University of Geosciences (Beijing),China University of Geosciences,26.0
China University of Geosciences (Beijing),Utrecht University,8.0
China University of Geosciences (Beijing),University of Vienna,4.0
China University of Geosciences (Beijing),Southern University of Science and Technology,6.0
China University of Geosciences (Beijing),Shanghai Institute of Geological Survey,6.0
China University of Geosciences (Beijing),Chinese Academy of Geological Sciences,18.0
China University of Geosciences (Beijing),Land Consolidation and Rehabilitation Center,12.0
China University of Geosciences (Beijing),Guangdong University of Petrochemical Technology,14.0
China University of Geosciences (Beijing),Guangzhou Maritime College,2.0
China University of Geosciences (Beijing),King Saud University,2.0
China University of Geosciences (Beijing),Ministry of Water Resources of the People's Republic of China,4.0
China University of Geosciences (Beijing),Beijing University of Posts and Telecommunications,12.0
World Health Organization - Lyon Office,Université Libre de Bruxelles,16.0
Indiana University Bloomington,University College London,22.0
Indiana University Bloomington,UK Dementia Research Institute,18.0
Indiana University Bloomington,University of Brescia,12.0
Indiana University Bloomington,University of Milan,4.0
Indiana University Bloomington,Sunnybrook Health Science Centre,4.0
Indiana University Bloomington,Occupational Cancer Research Centre,4.0
Indiana University Bloomington,University of Cambridge,2.0
Indiana University Bloomington,Karolinska Institutet,16.0
Indiana University Bloomington,Fondazione IRCCS Istituto Neurologico Carlo Besta,10.0
Indiana University Bloomington,University Hospital of Geneva,2.0
Indiana University Bloomington,Université Laval,2.0
Indiana University Bloomington,Western University,2.0
Indiana University Bloomington,University of Lisbon,8.0
Indiana University Bloomington,University of Florence,4.0
Indiana University Bloomington,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,6.0
Indiana University Bloomington,Centro San Giovanni di Dio Fatebenefratelli,8.0
Indiana University Bloomington,Karolinska University Hospital,2.0
Indiana University Bloomington,University of Coimbra,2.0
Indiana University Bloomington,Baycrest Hospital,4.0
Indiana University Bloomington,Erasmus MC,8.0
Indiana University Bloomington,Toronto Western Hospital,6.0
Indiana University Bloomington,MRC Prion Unit,2.0
Indiana University Bloomington,Mayo Clinic in Florida,2.0
Indiana University Bloomington,Hospital de Santa Maria,2.0
Indiana University Bloomington,"University of California, San Francisco",2.0
Indiana University Bloomington,UC San Diego Health System,10.0
Indiana University Bloomington,Mayo Clinic,4.0
Indiana University Bloomington,Berkeley College,2.0
Indiana University Bloomington,Philadelphia University,2.0
Indiana University Bloomington,LAC+USC Medical Center,2.0
Indiana University Bloomington,"University of California, Davis",6.0
Indiana University Bloomington,Brigham and Women's Hospital,10.0
Indiana University Bloomington,Washington University in St. Louis,8.0
Indiana University Bloomington,University of Pennsylvania,2.0
Indiana University Bloomington,Siemens (Germany),2.0
Indiana University Bloomington,University of Pittsburgh,10.0
Indiana University Bloomington,Cornell University,14.0
Indiana University Bloomington,Albert Einstein College of Medicine,2.0
Indiana University Bloomington,Alzheimer's Drug Discovery Foundation,2.0
Indiana University Bloomington,Acumen Pharmaceuticals (United States),2.0
Indiana University Bloomington,Northwestern University,2.0
Indiana University Bloomington,National Institute of Mental Health,2.0
Indiana University Bloomington,Providence College,2.0
Indiana University Bloomington,Eli Lilly (United States),2.0
Indiana University Bloomington,University of Washington,6.0
Indiana University Bloomington,Princeton University,4.0
Indiana University Bloomington,BioMarin (United States),12.0
Indiana University Bloomington,"University of California, Berkeley",22.0
Indiana University Bloomington,University of Bologna,12.0
Indiana University Bloomington,"Rutgers, The State University of New Jersey",4.0
Indiana University Bloomington,Fox Chase Cancer Center,8.0
Indiana University Bloomington,ETH Zurich,18.0
Indiana University Bloomington,University of North Carolina at Charlotte,16.0
Indiana University Bloomington,Baylor College of Medicine,8.0
Indiana University Bloomington,Advanced Bioscience Laboratories (United States),16.0
Indiana University Bloomington,University of Tartu,4.0
Indiana University Bloomington,Buck Institute for Research on Aging,4.0
Indiana University Bloomington,Indiana University – Purdue University Indianapolis,4.0
Indiana University Bloomington,Peking University,8.0
Indiana University Bloomington,Hamilton College,2.0
Indiana University Bloomington,University of South Florida,2.0
Indiana University Bloomington,Honda (Japan),6.0
Indiana University Bloomington,SUNY Upstate Medical University,8.0
Indiana University Bloomington,Örebro University,2.0
Indiana University Bloomington,Warneford Hospital,2.0
Indiana University Bloomington,University of Alabama at Birmingham,4.0
Indiana University Bloomington,First Affiliated Hospital of Wenzhou Medical University,2.0
Indiana University Bloomington,Wenzhou Medical University,38.0
Indiana University Bloomington,Alphabet (United States),2.0
Indiana University Bloomington,Massachusetts Institute of Technology,4.0
Indiana University Bloomington,Stevens Institute of Technology,4.0
Indiana University Bloomington,Beijing University of Chemical Technology,6.0
Indiana University Bloomington,University of Belgrade,12.0
Indiana University Bloomington,Jet Propulsion Laboratory,10.0
Indiana University Bloomington,University of Southern California,8.0
Indiana University Bloomington,Southwest Watershed Research Center,14.0
Indiana University Bloomington,University of Arizona,22.0
Indiana University Bloomington,University of New Mexico,6.0
Indiana University Bloomington,University of Miami,14.0
Indiana University Bloomington,Agricultural Research Service,12.0
Indiana University Bloomington,University of Memphis,2.0
Indiana University Bloomington,Affiliated Eye Hospital of Wenzhou Medical College,16.0
Indiana University Bloomington,San Jose State University,4.0
Indiana University Bloomington,Ahi Evran University,2.0
Indiana University Bloomington,Massachusetts General Hospital,8.0
Indiana University Bloomington,McGovern Institute for Brain Research,4.0
Indiana University Bloomington,Bambino Gesù Children's Hospital,2.0
Indiana University Bloomington,Eskişehir Osmangazi University,4.0
Indiana University Bloomington,University of Connecticut,8.0
Indiana University Bloomington,University of Florida,8.0
Indiana University Bloomington,University of North Carolina at Chapel Hill,2.0
Indiana University Bloomington,University of Central Florida,6.0
Indiana University Bloomington,Tân Tạo University,6.0
Indiana University Bloomington,"University of Technology, Jamaica",2.0
Indiana University Bloomington,Methodist Hospital,8.0
Indiana University Bloomington,Merrill (United States),4.0
Indiana University Bloomington,Union City Public Schools,2.0
Indiana University Bloomington,University of Chicago,2.0
