source,target,weight
Human Phenome Institute,Brain-Inspired Intelligence,8.0
Human Phenome Institute,"Radiology, Neurosurgery, Bioengineering",2.0
Management and Accounting,Management,2.0
Concrete and Prestressed Concrete Structure,Civil Engineering,8.0
Agro-environmental and Biological Technologies,Ecology,12.0
Agro-environmental and Biological Technologies,Biodiversity,2.0
Agro-environmental and Biological Technologies,Organisms and Systems Biology,2.0
Agro-environmental and Biological Technologies,Geography and Sustainability,2.0
Computational Research,Materials Science,8.0
Computational Research,Chemical Physics,36.0
Computational Research,Mathematics,4.0
Computational Research,Chemical and Biomolecular Engineering,2.0
Computational Research,Energy Technologies,2.0
Computational Research,Materials Science and Engineering,2.0
Computational Research,Electrical Engineering and Computer Science,12.0
Pediatric Medicine,Artificial Intelligence,6.0
Pediatric Medicine,Bioinformatics,12.0
Pediatric Medicine,Machine Learning,10.0
Pediatric Medicine,"Medical Genetics, Reproduction, Genetics, Regenerative Medicine",4.0
Pediatric Medicine,Electrical Engineering,4.0
Pediatric Medicine,Genomics,2.0
Pediatric Medicine,Human Genetics,2.0
Pediatric Medicine,Gastroenterology,16.0
Pediatric Medicine,Clinical Medicine,4.0
Pediatric Medicine,Women's and Children's health,2.0
Pediatric Medicine,Medical Sciences,10.0
Pediatric Medicine,Pediatrics,4.0
Pediatric Medicine,Pediatric and Adolescent Medicine,2.0
Pediatric Medicine,Medicine,6.0
Pediatric Medicine,Gastrointestinal Genetics,2.0
Pediatric Medicine,Clinical Epidemiology,2.0
Pediatric Medicine,Biomedical and Clinical Sciences,4.0
Pediatric Medicine,Clinical Research Laboratory,2.0
Pediatric Medicine,Microbiology and Immunology,4.0
Pediatric Medicine,Science and Technology,2.0
Pediatric Medicine,Genetics,2.0
Pediatric Medicine,Pathology,6.0
Pediatric Medicine,Pathology and Laboratory Medicine,6.0
Pediatric Medicine,Hematopathology,2.0
Space Coordination,Remote Sensing,2.0
Space Coordination,Geosciences,2.0
Space Coordination,Interdisciplinary and Remote Sensing,2.0
Global Business & Enterprise,Information Technology,2.0
Global Business & Enterprise,Management Sciences,2.0
Global Business & Enterprise,Business & Law,2.0
Global Business & Enterprise,Management,2.0
Isotope Biogeochemistry and Gas Fluxes,Agricultural and Landscape Research,10.0
Isotope Biogeochemistry and Gas Fluxes,Geography and Environmental Science,10.0
Isotope Biogeochemistry and Gas Fluxes,Pedology,10.0
Mountain Hazards and Environment,Earth Exploration and Information Technology,12.0
Mountain Hazards and Environment,Geography and Environmental Management,4.0
Mountain Hazards and Environment,Robotics,2.0
Mountain Hazards and Environment,Aerospace Information Research,6.0
Mountain Hazards and Environment,Resources and Environment,6.0
Mountain Hazards and Environment,Big Data,6.0
Mountain Hazards and Environment,Application system,2.0
Mountain Hazards and Environment,Geophysical Survey and Remote Sensing,4.0
Mountain Hazards and Environment,Marine Science and Engineering,4.0
Mountain Hazards and Environment,Earth Observation,8.0
Mountain Hazards and Environment,Engineering,2.0
Mountain Hazards and Environment,Green and Intelligent Technology,2.0
Integrative Cancer Research,Gastroenterology,200.0
Integrative Cancer Research,Engineering Science,50.0
Integrative Cancer Research,Chemical and Biomolecular Engineering,50.0
Integrative Cancer Research,Biomedical Engineering,50.0
Integrative Cancer Research,Electrical Engineering & Computer Science,100.0
Integrative Cancer Research,Mechanical Engineering,132.0
Integrative Cancer Research,Radiation Oncology,6.0
Integrative Cancer Research,Health Sciences and Technology,64.0
Integrative Cancer Research,Chemistry,8.0
Integrative Cancer Research,Materials Science and Engineering,20.0
Integrative Cancer Research,Oncology,48.0
Integrative Cancer Research,Radiology,32.0
Integrative Cancer Research,Electrical Engineering and Computer Science,16.0
Integrative Cancer Research,Computational Biology,32.0
Integrative Cancer Research,Molecular Pharmacology and Experimental Therapeutics,32.0
Integrative Cancer Research,Pathology,30.0
eHealth Research,Clinical Medicine,50.0
eHealth Research,Computer Science,50.0
eHealth Research,Psychology,50.0
eHealth Research,Cognitive Science,50.0
Knowledge and Data System,Maritime System Engineering,8.0
Atomic Energy,Nuclear Engineering and Radiation Science,2.0
Atomic Energy,Engineering,6.0
Atomic Energy,Mechanics,12.0
Atomic Energy,Engineering Science,8.0
Atomic Energy,Aerospace,8.0
Atomic Energy,Physics and Technology,12.0
Atomic Energy,Physics,36.0
Atomic Energy,Applied Physics and Computational Mathematics,12.0
Atomic Energy,Physics and Optoelectronic Engineering,12.0
Graphic Expression,Construction,4.0
Human-Machine Intelligence-Synergy Systems,Speech Science,40.0
Human-Machine Intelligence-Synergy Systems,Health Management,20.0
Human-Machine Intelligence-Synergy Systems,Neurology,20.0
Human-Machine Intelligence-Synergy Systems,Medicine,4.0
Human-Machine Intelligence-Synergy Systems,Computing,14.0
Human-Machine Intelligence-Synergy Systems,Neural Engineering,6.0
Human-Machine Intelligence-Synergy Systems,Computer Science and Technology,8.0
Human-Machine Intelligence-Synergy Systems,Advanced Technology,2.0
Human-Machine Intelligence-Synergy Systems,Mechanical Engineering and Intelligent Systems,14.0
Human-Machine Intelligence-Synergy Systems,Human-Machine Intelligence Synergy Systems,50.0
Human-Machine Intelligence-Synergy Systems,Neurosurgery,10.0
Human-Machine Intelligence-Synergy Systems,Surgery,30.0
Human-Machine Intelligence-Synergy Systems,Computer Engineering,10.0
Human-Machine Intelligence-Synergy Systems,Engineering,10.0
Human-Machine Intelligence-Synergy Systems,Medical Information Engineering,10.0
Human-Machine Intelligence-Synergy Systems,Data Science,10.0
Creative Design,Industrial Design,4.0
Creative Design,Fashion Accessory Art and Engineering,2.0
Creative Design,Computer Science and Technology,2.0
Creative Design,Big Data Analytics and Artificial Intelligence,2.0
Creative Design,Computer Sciences,2.0
Creative Design,Electronics and Information Engineering,2.0
Creative Design,Engineering,2.0
Creative Design,Civil Engineering,8.0
Creative Design,Sustainable Design Engineering,2.0
Creative Design,Climate Change and Adaptation,2.0
Creative Design,Urban Planning,2.0
Social Research,Entrepreneurship Research,2.0
Social Research,Geography and Environment,4.0
Social Research,Psychology,2.0
Social Research,Public Health,16.0
Social Research,Preventive Medicine and Public Health,8.0
Social Research,Artificial Intelligence in Medicine,16.0
Social Research,Evidence-based Medicine,16.0
Social Research,Global Health Innovations,16.0
Social Research,Economics and Finance,32.0
Social Research,Nursing Studies,8.0
Social Research,Information Systems Technology and Design,8.0
Social Research,Social Data,8.0
Social Research,Psychological Medicine,16.0
Social Research,Healthcare Research & Technology,8.0
Social Research,Behavioral Medicine,8.0
Social Research,Financial Management,2.0
Social Research,Mechanical Engineering and Energy Efficiency,2.0
Social Research,Languages and Computer Science,2.0
Social Research,Finance and Accounting,4.0
Social Research,Economics and Business,4.0
Social Research,Sustainable Economics and Finance,2.0
Social Research,Economics,2.0
Social Research,Economics and Statistics,2.0
Social Research,Industrial Economics,2.0
Social Research,Reviews and Dissemination,60.0
Social Research,Statistical Research & Methodology,2.0
Social Research,Statistics,2.0
Software Analysis and Intelligence,Software Excellence,6.0
Software Analysis and Intelligence,Engineering,2.0
Metabolism and Systems Research,Mathematics,18.0
Metabolism and Systems Research,Microbiology and Infection,6.0
Metabolism and Systems Research,"Endocrinology, Diabetes and Metabolism",18.0
Metabolism and Systems Research,Radio Astronomy,4.0
Metabolism and Systems Research,"Mathematics, Computer Science, Artificial Intelligence",16.0
Metabolism and Systems Research,Astronomical Institute,8.0
Metabolism and Systems Research,"Diabetes, Endocrinology, Metabolism",16.0
Metabolism and Systems Research,Biomedical Research,16.0
Metabolism and Systems Research,"Metabolism, Digestion and Reproduction",4.0
Metabolism and Systems Research,Liver Unit,4.0
Metabolism and Systems Research,Translational and Stratified Medicine,4.0
Metabolism and Systems Research,Medical Sciences,4.0
Metabolism and Systems Research,Health Research,6.0
Metabolism and Systems Research,Endocrinology,4.0
Metabolism and Systems Research,Nuclear Medicine and Molecular Imaging,4.0
Metabolism and Systems Research,Neurology,6.0
Metabolism and Systems Research,Biomedical Sciences,2.0
Metabolism and Systems Research,Healthcare,2.0
Metabolism and Systems Research,Neuroscience,4.0
Metabolism and Systems Research,Health Sciences,2.0
Metabolism and Systems Research,Medicine,2.0
Metabolism and Systems Research,Computational Intelligence and Machine Learning,2.0
Medicine (Medical Genetics) and Genome Sciences,Biomedical Informatics,60.0
Medicine (Medical Genetics) and Genome Sciences,Nephrology,40.0
Medicine (Medical Genetics) and Genome Sciences,Medicine,6.0
Medicine (Medical Genetics) and Genome Sciences,Cardiovascular Diseases,6.0
Medicine (Medical Genetics) and Genome Sciences,Health Research,12.0
Medicine (Medical Genetics) and Genome Sciences,Medical School,6.0
Medicine (Medical Genetics) and Genome Sciences,Genetic Medicine,8.0
Medicine (Medical Genetics) and Genome Sciences,Biostatistics,6.0
Medicine (Medical Genetics) and Genome Sciences,Genetics,6.0
Medicine (Medical Genetics) and Genome Sciences,Preventive Medicine,2.0
Medicine (Medical Genetics) and Genome Sciences,Cardiovascular Medicine,4.0
Medicine (Medical Genetics) and Genome Sciences,Pediatrics,2.0
Medicine (Medical Genetics) and Genome Sciences,"Pediatrics, Medicine",2.0
Medicine (Medical Genetics) and Genome Sciences,Neurology,4.0
Medicine (Medical Genetics) and Genome Sciences,Human Genetics,2.0
Medicine (Medical Genetics) and Genome Sciences,Clinical Pharmacology,2.0
Medicine (Medical Genetics) and Genome Sciences,"Rheumatology, Inflammation, and Immunity",2.0
Hospitality Business Management,Hospitality and Tourism Management,2.0
Graphene and Nano-Materials Research Center,Physics,8.0
Graphene and Nano-Materials Research Center,Computing and Informatics; Electrical Engineering and Computing,8.0
Innovation and Society,Responsible Innovation,2.0
Innovation and Society,Innovation in Society,2.0
Building and Real-Estate,Civil and Environmental Engineering,6.0
Cerebrovascular and Cardiovascular Diseases,Neurology,380.0
Cerebrovascular and Cardiovascular Diseases,"Neurology, Internal Medicine, Cardiology",128.0
Cerebrovascular and Cardiovascular Diseases,Radiology,48.0
Regenerative Biology,Computer Science,8.0
Regenerative Biology,Cell and Regenerative Biology,8.0
Regenerative Biology,"Molecular, Cellular, and Developmental Biology",8.0
Regenerative Biology,Biostatistics and Bioinformatics,8.0
Civil and Environmental Engineering and Earth Sciences,Artificial Intelligence,2.0
Civil and Environmental Engineering and Earth Sciences,Civil Engineering,2.0
Civil and Environmental Engineering and Earth Sciences,Architecture,2.0
Civil and Environmental Engineering and Earth Sciences,"Architecture, Civil Engineering, Applied Arts",2.0
Civil and Environmental Engineering and Earth Sciences,Data & Society,2.0
Civil and Environmental Engineering and Earth Sciences,Computer Science and Engineering,4.0
Geosolutions,Geoscience,2.0
Geosolutions,Mining Engineering and Metallurgical Engineering,2.0
Chemical Process and Pharmaceutical Development,Biomedical Center,4.0
Cryptology and Security,Electrical and Electronic Engineering,4.0
Cryptology and Security,Computer Science and Engineering,6.0
Deep Earth Science,Atmospheric Environment,56.0
Deep Earth Science,"Politics, Economics and International Relations",8.0
Deep Earth Science,Ecology and Applied Meteorology,48.0
Deep Earth Science,Meteorological Administration,8.0
Deep Earth Science,Civil and Environmental Engineering,8.0
Deep Earth Science,Organic Geochemistry,32.0
Medical and Technical Sciences,Engineering,4.0
Medical and Technical Sciences,Computer Science and Engineering,16.0
Statistics and Machine Learning,Environmental Institute,8.0
Statistics and Machine Learning,GroundWater Modeling,8.0
Statistics and Machine Learning,Astrophysical Sciences,2.0
Statistics and Machine Learning,Hydrology and Atmospheric Sciences,2.0
Statistics and Machine Learning,Civil and Environmental Engineering,2.0
Statistics and Machine Learning,Atomistic Simulations,32.0
Statistics and Machine Learning,"Mineralogy, Physics of Materials, Cosmochemistry",32.0
Natural Resources and the Environment,Natural Resources and Environmental Science,4.0
Natural Resources and the Environment,Water Management,4.0
Natural Resources and the Environment,Forest Service,2.0
Natural Resources and the Environment,Radar Research,2.0
Natural Resources and the Environment,Civil and Environmental Engineering,4.0
Natural Resources and the Environment,Environmental Research and Sustainable Development,4.0
Natural Resources and the Environment,Water Resources and Environmental Engineering,2.0
Natural Resources and the Environment,Computational Medicine,6.0
Natural Resources and the Environment,Ecology and Evolutionary Biology,12.0
Natural Resources and the Environment,Quantitative and Computational Biology,6.0
Natural Resources and the Environment,Computer Science,2.0
Natural Resources and the Environment,Electrical Engineering and Computer Science,2.0
Natural Resources and the Environment,Biology,10.0
Natural Resources and the Environment,Geography and the Environment,2.0
Natural Resources and the Environment,Earth System Science,20.0
Natural Resources and the Environment,Climate and Global Dynamics,8.0
Natural Resources and the Environment,Environmental Sciences,4.0
Natural Resources and the Environment,Life and Environmental Sciences,4.0
Natural Resources and the Environment,Crop and Soil Sciences,8.0
Natural Resources and the Environment,Biosciences,4.0
Natural Resources and the Environment,"Environment, Energy",4.0
Natural Resources and the Environment,"Ecosystem Science and Society, Biological Sciences",10.0
Natural Resources and the Environment,Environmental Science,2.0
Natural Resources and the Environment,Physical and Life Sciences,4.0
Natural Resources and the Environment,Life & Environmental Sciences,2.0
Natural Resources and the Environment,Public and Environmental Affairs,8.0
Natural Resources and the Environment,Agricultural Research Service,8.0
Natural Resources and the Environment,Geography,4.0
Natural Resources and the Environment,Watershed Research,8.0
Natural Resources and the Environment,"Natural Resources and the Environment, Geography, Development & Environment, Remote Sensing",4.0
Natural Resources and the Environment,Carbon Neutrality,4.0
Natural Resources and the Environment,Earth and Environmental Engineering,8.0
Natural Resources and the Environment,Environmental Planning,4.0
Natural Resources and the Environment,Geographical Science,4.0
Natural Resources and the Environment,Biological Sciences,8.0
Natural Resources and the Environment,"Biological Sciences, Environmental Science and Engineering",4.0
Natural Resources and the Environment,Arctic and Alpine Research,2.0
Natural Resources and the Environment,Ecology & Evolutionary Biology,8.0
Statistical and Quantitative Sciences,Biostatistics,6.0
"Biostatistics, Epidemiology & Informatics",Psychiatry,4.0
"Biostatistics, Epidemiology & Informatics",Artificial Intelligence,2.0
"Biostatistics, Epidemiology & Informatics",Industrial Engineering,2.0
"Family Medicine, Geriatrics, Geriatrics",Computer Science,4.0
"Cognitive Computational Neuroscience, English Philology, Linguistics",Neuroscience,24.0
"Cognitive Computational Neuroscience, English Philology, Linguistics",Biophysics,12.0
"Cognitive Computational Neuroscience, English Philology, Linguistics",Linguistics,12.0
"Cognitive Computational Neuroscience, English Philology, Linguistics",Machine Intelligence,6.0
Infectious Diseases and Tropical Medicine,Clinical Pathology,16.0
Infectious Diseases and Tropical Medicine,Medical Science,2.0
Infectious Diseases and Tropical Medicine,Pulmonary and Critical Care Medicine,2.0
Biostatistics and Computational Biology,Urology,48.0
Biostatistics and Computational Biology,Radiology,16.0
Biostatistics and Computational Biology,Radiology and Imaging Sciences,12.0
Biostatistics and Computational Biology,Pediatrics,8.0
Biostatistics and Computational Biology,Public Health Sciences,8.0
Biostatistics and Computational Biology,Family Medicine,8.0
Biostatistics and Computational Biology,Oral Health,16.0
Biostatistics and Computational Biology,Microbiology and Immunology,20.0
Biostatistics and Computational Biology,Bioinformatics,6.0
Biostatistics and Computational Biology,Biomedical Engineering,4.0
Biostatistics and Computational Biology,Electrical and Computer Engineering,4.0
Biostatistics and Computational Biology,Neurology,6.0
Biostatistics and Computational Biology,Imaging Sciences,4.0
Biostatistics and Computational Biology,Physics and Astronomy,2.0
Biostatistics and Computational Biology,Internal Medicine,6.0
Biostatistics and Computational Biology,Dentistry,4.0
Biostatistics and Computational Biology,Microbiology,8.0
Biostatistics and Computational Biology,Public and Ecosystem Health,4.0
Biostatistics and Computational Biology,Preventive and Community Dentistry,12.0
Biostatistics and Computational Biology,"Oral Pathology, Radiology, and Medicine",4.0
Biostatistics and Computational Biology,Epidemiology,14.0
Biostatistics and Computational Biology,"Epidemiology, Human Genetics, Environmental Sciences",4.0
Biostatistics and Computational Biology,Biostatistics and Epidemiology,2.0
Biostatistics and Computational Biology,Mathematics and Statistics,2.0
Biostatistics and Computational Biology,Biostatistics,2.0
Biostatistics and Computational Biology,Medicine,8.0
Biostatistics and Computational Biology,Psychosocial Oncology and Palliative Care,2.0
Biostatistics and Computational Biology,Internal Medicine and Primary Care,2.0
Biostatistics and Computational Biology,Cancer Institute,2.0
Computational Multiphysics Systems Lab,Mechanical and Electrical Engineering,2.0
Computational Multiphysics Systems Lab,Engineering,2.0
Computational Multiphysics Systems Lab,Chemical Engineering,2.0
Computational Multiphysics Systems Lab,Civil and Mechanical Engineering,2.0
Computational Multiphysics Systems Lab,Deep Earth Science and Engineering,2.0
Preventive and Population Medicine,Medicine,4.0
Preventive and Population Medicine,Preventive Services,2.0
Preventive and Population Medicine,Health Services and Systems Research,4.0
Preventive and Population Medicine,Emergency Medicine,10.0
Preventive and Population Medicine,Emergency Research,2.0
Preventive and Population Medicine,Emergency Medical Services,2.0
Preventive and Population Medicine,Emergency Department,2.0
Preventive and Population Medicine,Accident & Emergency,2.0
Preventive and Population Medicine,Acute and Emergency Care,2.0
Human Movement Sciences,Rehabilitation Medicine,10.0
Human Movement Sciences,Computer Science,6.0
Human Movement Sciences,Volleyball,2.0
Human Movement Sciences,Communication and ICT,8.0
Human Movement Sciences,Rehabilitation,18.0
Human Movement Sciences,Information Technology,6.0
Human Movement Sciences,Robotics and Mechatronics,4.0
Human Movement Sciences,Informatics,2.0
Human Movement Sciences,Sport and Exercise Sciences,2.0
Human Movement Sciences,Sport and Sport Science,10.0
Human Movement Sciences,Artificial Intelligence,2.0
Human Movement Sciences,Training Optimization for Sport and Health,2.0
Human Movement Sciences,Statistics,2.0
Construction Engineering and Lighting Science,Civil and Environmental Engineering,2.0
Construction Engineering and Lighting Science,Architecture,2.0
Construction Engineering and Lighting Science,Technical Sciences,2.0
Posts,Computer Science and Engineering,8.0
Health Policy,"Health Policy, Primary Care & Outcomes Research",2.0
Health Policy,Pharmaceutical and Health Economics,2.0
Health Policy,Health Policy & Economics,2.0
Health Policy,Health Economics,2.0
Health Policy,Health Policy and Administration,2.0
Health Policy,Health and Care Excellence,2.0
Health Policy,Medicine,20.0
Health Policy,Social Policy and Management,2.0
Health Policy,Medicine and Health,4.0
Health Policy,Basic Medical Sciences,8.0
Health Policy,Internal Medicine,4.0
Health Policy,Biological Chemistry,2.0
Health Policy,Social and Education Policy,2.0
Health Policy,Environment,6.0
Health Policy,Brain-inspired Intelligence,4.0
Health Policy,Data Science,6.0
Health Policy,Civil and Environmental Engineering,4.0
Health Policy,"Earth, Atmospheric, and Planetary Sciences",2.0
Health Policy,Earth System Science,2.0
Health Policy,Sustainability,2.0
Health Policy,Biostatistics,4.0
Health Policy,"Biostatistics, Epidemiology, and Informatics",8.0
Health Policy,Health System,8.0
Health Policy,Cancer Care Innovation,8.0
Health Policy,Medical Oncology,4.0
Health Policy,Management Science and Engineering,6.0
Health Policy,Adolescent and School Health,12.0
Health Policy,Statistics,6.0
"Biology, Medicine and Health","Population Health, Health Services Research, Primary Care, Health Sciences, Biology, Medicine, Health",18.0
Health Sciences and Technologies,Medical Microbiology,12.0
Health Sciences and Technologies,Regenerative and Restorative Medicine,18.0
Health Sciences and Technologies,Computer Engineering,6.0
Health Sciences and Technologies,Stem Cell,12.0
Health Sciences and Technologies,Host-Microbiome Interactions,12.0
Health Sciences and Technologies,Neuroscience,18.0
Health Sciences and Technologies,Microbiology,24.0
Health Sciences and Technologies,Preventive Medicine,6.0
Health Sciences and Technologies,Neurology,12.0
Diagnostic Department,Carcinogenesis,16.0
Diagnostic Department,Bioinformatics,4.0
Diagnostic Department,Clinical Immunology and Microbiology,12.0
Diagnostic Department,Immunoregulation,8.0
Diagnostic Department,Liver Cancer Program,4.0
Molecular and Cellular Medicine,Infection and Immunity,12.0
Molecular and Cellular Medicine,Virology,8.0
Molecular and Cellular Medicine,Veterinary,4.0
Molecular and Cellular Medicine,Biochemistry and Biophysics,2.0
Molecular and Cellular Medicine,Hepatobiliary Surgery,24.0
Molecular and Cellular Medicine,Genetic Engineering and Biotechnology,56.0
Molecular and Cellular Medicine,Hepatology,28.0
Strategic Foresight and Innovation,Electronics Engineering,20.0
Informatics and Computer,Electrical Engineering,4.0
Informatics and Computer,Engineering,2.0
Informatics and Computer,Information Systems,6.0
Informatics and Computer,Informatics,4.0
Health Sciences and Biomedical Engineering,Reliability and Intelligence of Electrical Equipment,10.0
Infectious Diseases and Infection Prevention,Electrophysiology,6.0
Infectious Diseases and Infection Prevention,Health Technology Assessment,6.0
Infectious Diseases and Infection Prevention,Cardiology,2.0
Industrial Research and Technology,Environmental Hydraulics,20.0
Industrial Research and Technology,Life Saving,4.0
Industrial Research and Technology,Civil Defense,4.0
Industrial Research and Technology,Drowning Research,4.0
Industrial Research and Technology,Fire Department,4.0
Grain Industry Technology Innovation Center,Food and Health,18.0
Grain Industry Technology Innovation Center,Food Science and Biotechnology,12.0
CS IT,Computer Engineering and Science,4.0
CS IT,Applied Mathematics and Mechanics,4.0
CS IT,Communications and Information Engineering,2.0
CS IT,Computer Engineering,2.0
Haematology-Oncology,Medicine,16.0
Haematology-Oncology,Innovation Office,12.0
Haematology-Oncology,Geriatric Medicine,12.0
Haematology-Oncology,Radiation Oncology,24.0
Haematology-Oncology,Pharmacy,12.0
Haematology-Oncology,General Medicine,12.0
Haematology-Oncology,Cancer Institute,12.0
Haematology-Oncology,Haematology Oncology,4.0
Haematology-Oncology,Blood Cancer Center,4.0
Haematology-Oncology,Cancer Science,4.0
Biology and Biotechnologies,Forestry and Wood,6.0
Grids Operation and Control on Multi-Power Sources Area,Optics and Electronics,6.0
"Ecology, Zoology",Geography,6.0
"Ecology, Zoology",Environment,2.0
IntelliSense Technology,Electronics Technology,32.0
History,Computer Engineering,10.0
History,Law,8.0
History,Computer Science,18.0
History,Cultural Heritage Intelligent Computing,6.0
History,Big Data,8.0
History,History and Culture,10.0
History,Arts and Sciences,2.0
History,"War, Holocaust and Genocide Studies",2.0
History,"War, Holocaust, and Genocide Studies",6.0
History,Dutch Language,4.0
History,Art History,2.0
History,Archives,2.0
History,Library Science,2.0
History,Content Conversion Specialists,2.0
History,Archive,2.0
History,Hanse and Baltic History,2.0
History,Architecture,6.0
History,Environmental Science,2.0
Advanced Materials and Renewable Energy,Medical University,4.0
Advanced Materials and Renewable Energy,Electrical Engineering,10.0
Advanced Materials and Renewable Energy,Materials Science and Engineering,4.0
Advanced Materials and Renewable Energy,Electrical and Computer Engineering,2.0
Advanced Materials and Renewable Energy,Mechanical Engineering,64.0
"Health Sciences, Infectious Diseases",Health Sciences,2.0
"Health Sciences, Infectious Diseases",Medical Applications,2.0
"Health Sciences, Infectious Diseases","Microbiology, Immunology and Genetics",2.0
Aeronautics Science and Engineering,UAV General Technology,8.0
"Science, Technology, & Research",CSE,64.0
Chemical Fibre Environmental Technology,Nutritional and Toxicology,2.0
Chemical Fibre Environmental Technology,Food Science and Technology,4.0
Chemical Fibre Environmental Technology,Nutritional and Toxicology; Food Technology; Animal and Environmental Biology,2.0
Chemical Fibre Environmental Technology,Planning,2.0
Intelligent Healthcare,Engineering,14.0
Intelligent Healthcare,Engineering and Computing,8.0
Intelligent Healthcare,Computing,4.0
Intelligent Healthcare,Mobility Innovations,2.0
Intelligent Healthcare,Engineering and IT,8.0
Intelligent Healthcare,Emergency Medicine,4.0
Intelligent Healthcare,Medicine,4.0
Intelligent Healthcare,Information Services,2.0
Intelligent Healthcare,Radiation Oncology,2.0
Intelligent Healthcare,Hematology and Oncology,14.0
Intelligent Healthcare,Pediatric Hematology and Oncology,4.0
Intelligent Healthcare,Hematology and Medical Oncology,2.0
Intelligent Healthcare,Hemato-Oncology,2.0
Intelligent Healthcare,Pediatrics,4.0
Intelligent Healthcare,Atmospheric Environment Remote Sensing,8.0
Intelligent Healthcare,Atmospheric Environment Remote Sensing; Electrical and Information Engineering; Instrument Science and Opto-electronic Engineering,4.0
Intelligent Healthcare,Electrical and Information Engineering,12.0
Intelligent Healthcare,Biomedical Engineering,8.0
Intelligent Healthcare,Clinical Engineering,4.0
Intelligent Healthcare,Cardiology,12.0
Intelligent Healthcare,Cardiology; Clinical Engineering; Biomedical Engineering; Atmospheric Environment Remote Sensing; Intelligent Healthcare; Electrical and Information Engineering; Instrument Science and Opto-electronic Engineering,4.0
"Law, Medicine, Health, Environment, Life Sciences",Surgery,14.0
"Law, Medicine, Health, Environment, Life Sciences",Biochemistry and Molecular Genetics,2.0
"Law, Medicine, Health, Environment, Life Sciences",Transfusion Medicine,2.0
"Law, Medicine, Health, Environment, Life Sciences",Chemical Engineering,2.0
"Law, Medicine, Health, Environment, Life Sciences",Laboratory Medicine and Pathology,4.0
"Law, Medicine, Health, Environment, Life Sciences",Biomedical Engineering,6.0
"Law, Medicine, Health, Environment, Life Sciences",Mechanical Engineering,2.0
