source,target,weight
Pediatric Medicine,Surgery,8.0
Pediatric Medicine,Pediatric Hematology-Oncology,8.0
Pediatric Medicine,Multidisciplinary Division,4.0
Pediatric Medicine,Internal Medicine and Oncology,14.0
Pediatric Medicine,Obstetrics and Gynecology,4.0
Pediatric Medicine,Pathology and Experimental Cancer Research,2.0
Pediatric Medicine,Prenatal,2.0
Pediatric Medicine,Medical Genetics,2.0
Pediatric Medicine,Hospital and Outpatient Institute,6.0
Pediatric Medicine,University Hospital of Vas County Markusovszky Szombathely Hungary,2.0
Preventive and Biomedical Science,Dentistry,10.0
Preventive and Biomedical Science,"Social Medicine, Population and Public Health",2.0
Preventive and Biomedical Science,Reproductive and Population Health Studies,2.0
Preventive and Biomedical Science,Medicine,2.0
Preventive and Biomedical Science,Public Health,2.0
Preventive and Biomedical Science,Preventive Dentistry,2.0
Preventive and Biomedical Science,Oral and Maxillofacial Surgery,2.0
Preventive and Biomedical Science,Substitutive Dental Science,2.0
Preventive and Biomedical Science,Oral Bioengineering,2.0
Preventive and Biomedical Science,Postgraduate,2.0
Preventive and Biomedical Science,Family Medicine,2.0
Cooperative Extension,Food and Agriculture,8.0
Biometrology and Inspection & Quarantine,Pharmaceutical Biology and Biotechnology,12.0
"Anesthesiology, Critical Care Medicine, Pain Management",Hospital Administration,12.0
Mountain Hazards and Environment,Ecology and Environment Monitoring,8.0
Mountain Hazards and Environment,Geography and Environmental Sciences,8.0
Mountain Hazards and Environment,Earthquake Dynamics,12.0
Mountain Hazards and Environment,Earth Sciences,12.0
Mountain Hazards and Environment,Geological Survey,6.0
NanoTech,Self-Powered Actuation,10.0
NanoTech,Medicine,6.0
NanoTech,Nano-Science and Technology,2.0
NanoTech,Technology Development Center,8.0
NanoTech,Materials Engineering,4.0
Qur'anic Studies,Postgraduate Student UIN Antasari Banjarmasin,2.0
Qur'anic Studies,Postgraduate Studies,2.0
Integrative Cancer Research,Biological Engineering,152.0
Integrative Cancer Research,Quantitative Systems Pharmacology,4.0
Integrative Cancer Research,Pathology,4.0
Integrative Cancer Research,Mechanical Engineering,8.0
Integrative Cancer Research,Electronics,4.0
Integrative Cancer Research,Gynepathology,4.0
Integrative Cancer Research,Chemical Engineering,66.0
Integrative Cancer Research,Nanotechnology,4.0
Integrative Cancer Research,Animal Sciences,4.0
Integrative Cancer Research,Molecular Histology and Pathology,4.0
Integrative Cancer Research,Biology and Biological Engineering,12.0
Integrative Cancer Research,Biomedical Research,10.0
Integrative Cancer Research,"Medical Institute, Technology",4.0
Integrative Cancer Research,Biology,2.0
Ecology and Environment Monitoring,Mountain Hazards and Environment,8.0
Supramolecular Nanosystems,Chemistry,24.0
Atomic Energy,Electronic Information and Physics,4.0
Atomic Energy,Radiation,2.0
Atomic Energy,Nuclear Science and Technology,2.0
Atomic Energy,Physics,10.0
Atomic Energy,Criminal Science and Technology,2.0
Drug Delivery and Molecular Biopharmaceutics,Mycology,2.0
Home Economics,Quality Education,6.0
Human-Machine Intelligence-Synergy Systems,Intelligent Conveying Technology and Device,16.0
Human-Machine Intelligence-Synergy Systems,Foreign Languages,4.0
Human-Machine Intelligence-Synergy Systems,Chinese Language and Culture,4.0
Human-Machine Intelligence-Synergy Systems,"Language, Cognition, and Neuroscience",8.0
Human-Machine Intelligence-Synergy Systems,Foreign Studies,4.0
Creative Design,Fine Arts,12.0
Creative Design,Humanities and Arts,6.0
Creative Design,Urban Planning,8.0
Creative Design,Agricultural Engineering,8.0
Creative Design,Sustainable Design Engineering,2.0
Creative Design,Climate Change and Adaptation,2.0
Creative Design,Civil Engineering,2.0
Social Research,Sociology,2.0
Social Research,Gender Studies,2.0
Social Research,Political Science,2.0
Social Research,Population Health Sciences,4.0
Social Research,Internal Medicine,4.0
Social Research,Psychology,18.0
Social Research,Medical Center/Medicine,4.0
Social Research,Management,2.0
Social Research,Business Administration,2.0
Social Research,Health & Risk Behaviors,2.0
Social Research,Psychiatry & Behavioral Sciences,4.0
Experimental Sciences,Chemical and Environmental Engineering,4.0
Experimental Sciences,Nanoscience and Materials,4.0
Revenue Management,Management,2.0
Revenue Management,Pathology and Cell Biology,24.0
Computing Science; Computer Science,"Control, Robotics and Electrical Engineering; Mathematics",2.0
Pediatric Neurology and Muscular Diseases,"Neurosciences, Rehabilitation, Ophthalmology, Genetics, Maternal and Child Health",30.0
Pediatric Neurology and Muscular Diseases,Neurosurgery,20.0
Pediatric Neurology and Muscular Diseases,Neuroscience,10.0
Biogeocenology,Ecology and Genetics,16.0
Biogeocenology,Biology,16.0
Biogeocenology,Life Science and Biotechnologies,4.0
Biogeocenology,"Architecture, Civil and Environmental Engineering, Ecological Systems",4.0
Biogeocenology,"Forest, Snow and Landscape Research",4.0
Biogeocenology,Wetland Ecology and Vegetation Restoration,8.0
Biogeocenology,Geographical Sciences,8.0
Biogeocenology,Natural Sciences,4.0
Biogeocenology,Ecology and Environmental Science,4.0
Biogeocenology,Museum Studies,8.0
Biogeocenology,Earth Sciences,4.0
Biogeocenology,Botanical Institute,4.0
Biogeocenology,Geobotany and Plant Ecology,4.0
Biogeocenology,Biodiversity and Ecosystem Research,8.0
Biogeocenology,Taxonomy and Ecology,4.0
Biogeocenology,Botany and Zoology,8.0
Biogeocenology,Geography,8.0
Biogeocenology,Geography and Environmental Studies,4.0
Biogeocenology,Plant Biology,4.0
Biogeocenology,Ecology,8.0
Biogeocenology,Ecology and Earth Sciences,8.0
Biogeocenology,Soil Ecology,8.0
Biogeocenology,Plant Ecology and Nature Conservation,4.0
Biogeocenology,Meteorological Institute,4.0
Biogeocenology,Biological Sciences,8.0
Biogeocenology,Botanical Garden,4.0
Biogeocenology,Soil Biodiversity,8.0
Biogeocenology,Geography and Planning,4.0
Biogeocenology,Environment and Geography,4.0
Biogeocenology,Biology of Inland Waters,4.0
Biogeocenology,Aquatic Ecology & Environmental Biology,4.0
Biogeocenology,Plant Science,4.0
Biogeocenology,Zoology,4.0
Biogeocenology,"Earth, Environment and Society",4.0
Structure Engineering,Civil Engineering,8.0
Structure Engineering,Civil and Transportation Engineering,2.0
"Chemical Oncogenomics, Chemical Genomics",Bioactive Molecules Research and Evaluation,6.0
"Chemical Oncogenomics, Chemical Genomics",Pharmaceutical,30.0
"Chemical Oncogenomics, Chemical Genomics",Biological Molecular Medicine,12.0
"Chemical Oncogenomics, Chemical Genomics",Science & Technology,6.0
"Chemical Oncogenomics, Chemical Genomics",Cancer,6.0
Nanophotonic Functional Materials and Devices,Physics and Optoelectronic Engineering,4.0
Nanophotonic Functional Materials and Devices,Applied Mathematics,4.0
Nanophotonic Functional Materials and Devices,"Mathematics, Physics and Computing",4.0
Applied Sciences and Humanities,Mathematics,16.0
Applied Sciences and Humanities,Basic Sciences and Research,2.0
Applied Sciences and Humanities,Physics,8.0
Applied Sciences and Humanities,Metallurgy and Materials Engineering,2.0
Applied Sciences and Humanities,Chemistry,2.0
Biology of Inland Waters,Ecology and Genetics,8.0
Biology of Inland Waters,Biology,12.0
Biology of Inland Waters,Life Science and Biotechnologies,2.0
Biology of Inland Waters,"Architecture, Civil and Environmental Engineering, Ecological Systems",2.0
Biology of Inland Waters,"Forest, Snow and Landscape Research",2.0
Biology of Inland Waters,Wetland Ecology and Vegetation Restoration,4.0
Biology of Inland Waters,Geographical Sciences,4.0
Biology of Inland Waters,Natural Sciences,2.0
Biology of Inland Waters,Ecology and Environmental Science,2.0
Biology of Inland Waters,Museum Studies,4.0
Biology of Inland Waters,Earth Sciences,2.0
Biology of Inland Waters,Botanical Institute,2.0
Biology of Inland Waters,Geobotany and Plant Ecology,2.0
Biology of Inland Waters,Biodiversity and Ecosystem Research,4.0
Biology of Inland Waters,Taxonomy and Ecology,2.0
Biology of Inland Waters,Botany and Zoology,4.0
Biology of Inland Waters,Geography,4.0
Biology of Inland Waters,Geography and Environmental Studies,2.0
Biology of Inland Waters,Plant Biology,2.0
Biology of Inland Waters,Ecology,8.0
Biology of Inland Waters,Ecology and Earth Sciences,4.0
Biology of Inland Waters,Biogeocenology,4.0
Biology of Inland Waters,Soil Ecology,4.0
Biology of Inland Waters,Plant Ecology and Nature Conservation,2.0
Biology of Inland Waters,Meteorological Institute,2.0
Biology of Inland Waters,Biological Sciences,4.0
Biology of Inland Waters,Botanical Garden,2.0
Biology of Inland Waters,Soil Biodiversity,4.0
Biology of Inland Waters,Geography and Planning,2.0
Biology of Inland Waters,Environment and Geography,2.0
Biology of Inland Waters,Aquatic Ecology & Environmental Biology,2.0
Biology of Inland Waters,Plant Science,2.0
Biology of Inland Waters,Zoology,2.0
Biology of Inland Waters,"Earth, Environment and Society",2.0
Biology of Inland Waters,Environmental Studies,4.0
Biology of Inland Waters,Zoology and Parasitology,8.0
Learning and Instruction,Education,2.0
Learning and Instruction,Teacher Education,4.0
Learning and Instruction,Teacher Education and School Research,4.0
Medicine (Geriatrics),Health Economics,6.0
Medicine (Geriatrics),Clinical Research,18.0
Medicine (Geriatrics),Pharmaceutical Care,6.0
Medicine (Geriatrics),Internal Medicine (Geriatrics),6.0
Medicine (Geriatrics),Geriatrics,6.0
Accident & Emergency Medicine,Diagnostic Radiology & Nuclear Medicine,2.0
Accident & Emergency Medicine,Neurology,2.0
Accident & Emergency Medicine,Public Health & Family Medicine,2.0
Ecological Engineering,Forestry,2.0
Ecological Engineering,Forest Germplasm Resources and Forest Protection,6.0
Ecological Engineering,Geology and Mineral Resources Management,6.0
Civil and Environmental Engineering and Earth Sciences,Geography,6.0
Civil and Environmental Engineering and Earth Sciences,Oceanography,2.0
Civil and Environmental Engineering and Earth Sciences,Earth and Environment,6.0
Civil and Environmental Engineering and Earth Sciences,Marine Science,2.0
Civil and Environmental Engineering and Earth Sciences,Geology,2.0
Civil and Environmental Engineering and Earth Sciences,Mining & Environment and Sustainability,4.0
Civil and Environmental Engineering and Earth Sciences,Geological Sciences and Environmental Studies,2.0
Civil and Environmental Engineering and Earth Sciences,Geochemistry,2.0
Civil and Environmental Engineering and Earth Sciences,Earth Sciences,4.0
Civil and Environmental Engineering and Earth Sciences,Ocean Sciences,2.0
Civil and Environmental Engineering and Earth Sciences,Climate Research,12.0
Civil and Environmental Engineering and Earth Sciences,Geosciences,6.0
Civil and Environmental Engineering and Earth Sciences,Earth and Planetary Sciences,2.0
Civil and Environmental Engineering and Earth Sciences,Atmosphere and Ocean Research,4.0
Civil and Environmental Engineering and Earth Sciences,Physics,8.0
Civil and Environmental Engineering and Earth Sciences,Climate and Global Dynamics,4.0
Civil and Environmental Engineering and Earth Sciences,Atmospheric Physics,4.0
Civil and Environmental Engineering and Earth Sciences,Polar and Marine Research,4.0
Civil and Environmental Engineering and Earth Sciences,Earth Evolution and Dynamics,2.0
Civil and Environmental Engineering and Earth Sciences,Earth Science,2.0
Civil and Environmental Engineering and Earth Sciences,Atmospheric Science,2.0
Civil and Environmental Engineering and Earth Sciences,Applied and Computational Mathematics and Statistics,8.0
Civil and Environmental Engineering and Earth Sciences,Statistics,4.0
Civil and Environmental Engineering and Earth Sciences,"Civil, Architectural, and Environmental Engineering",2.0
Civil and Environmental Engineering and Earth Sciences,Computational Engineering and Sciences,2.0
Civil and Environmental Engineering and Earth Sciences,Civil and Environmental Engineering,8.0
Civil and Environmental Engineering and Earth Sciences,Mechanical and Civil Engineering,2.0
Civil and Environmental Engineering and Earth Sciences,Computing,6.0
Civil and Environmental Engineering and Earth Sciences,Engineering,2.0
Civil and Environmental Engineering and Earth Sciences,Structural Engineering,2.0
Child and Youth Mental Health and Welfare,Psychology,12.0
Child and Youth Mental Health and Welfare,Psychiatric Division,6.0
Child and Youth Mental Health and Welfare,Psychiatry,6.0
Child and Youth Mental Health and Welfare,Medicine,6.0
Cosmetology and Aesthetics,Dentistry,4.0
Cosmetology and Aesthetics,Cosmetics Technology,2.0
Cosmetology and Aesthetics,Implant Dentistry,2.0
Sciences and Emerging Technologies,Engineering and Technology,4.0
Deep Earth Science,Isotope Geochemistry,60.0
Deep Earth Science,Earth and Planetary Sciences,8.0
Deep Earth Science,Geology and Geochemistry,8.0
Deep Earth Science,Comparative Planetology,8.0
Deep Earth Science,Earth and Space Sciences,8.0
Deep Earth Science,Mineralogy and Metallogeny,8.0
Deep Earth Science,Coastal Ocean Variation and Disaster Prediction,6.0
Deep Earth Science,Marine Science and Engineering,12.0
Deep Earth Science,Earth Sciences and Engineering,6.0
Medical and Technical Sciences,Nephrology,304.0
Medical and Technical Sciences,Nephrology and Transplant Medicine,8.0
Medical and Technical Sciences,Renal Transplant Surgery,16.0
Natural Resources and the Environment,Marine Laboratory,4.0
Natural Resources and the Environment,Zoology and Physiology,4.0
Natural Resources and the Environment,Biological Sciences,4.0
Natural Resources and the Environment,Watershed Research,12.0
Natural Resources and the Environment,Hydrology and Atmospheric Sciences,4.0
Natural Resources and the Environment,Water Security,4.0
Natural Resources and the Environment,Fisheries and Aquatic Sciences,392.0
Natural Resources and the Environment,Biology,394.0
Natural Resources and the Environment,"Evolution, Ecology, and Organismal Biology",392.0
Natural Resources and the Environment,Forestry and Natural Resources,784.0
Natural Resources and the Environment,Environmental Research,392.0
Natural Resources and the Environment,Resilience,4.0
Natural Resources and the Environment,Public Policy,4.0
Natural Resources and the Environment,Global Prosperity,4.0
Natural Resources and the Environment,Genetics,4.0
Natural Resources and the Environment,Law,2.0
Natural Resources and the Environment,Fish and Wildlife Research,2.0
Mediterranean Societies Archaeology,Materials Science,4.0
Mediterranean Societies Archaeology,Archaeological Research,2.0
Mediterranean Societies Archaeology,Agro and Hydrosystem Spatialization,2.0
Gynecological Diseases,Obstetrics and Gynecology,72.0
Gynecological Diseases,Medicine,22.0
Gynecological Diseases,Pathology,4.0
Gynecological Diseases,Psychiatry,4.0
"Pharmacology, Therapeutics and Toxicology",Physiology,20.0
"Pharmacology, Therapeutics and Toxicology",Medical Microbiology and Parasitology,8.0
"Pharmacology, Therapeutics and Toxicology",Biochemistry,4.0
Clinical Cancer Research,Medicine,12.0
Clinical Cancer Research,Oncology,2.0
Clinical Cancer Research,Oncological Practice,6.0
Clinical Cancer Research,Haematology and Oncology,2.0
Clinical Cancer Research,Internal Medicine,2.0
Clinical Cancer Research,Pathology,4.0
Clinical Cancer Research,"Hematology, Oncology, Tumor Immunology",2.0
Chemistry and Ecotoxicology,Conservation,4.0
Gastroenterology and Interventional Endoscopy,Emergency Medicine,44.0
Gastroenterology and Interventional Endoscopy,Medicine,22.0
"Radiological Sciences, Oncology, Pathology",Biology,484.0
"Radiological Sciences, Oncology, Pathology","Clinical, Internal, Anesthesiologic and Cardiovascular Sciences",770.0
"Radiological Sciences, Oncology, Pathology","Clinical, Internal, Anesthesiology and Cardiovascular Sciences",242.0
"Pediatrics, Neurological Sciences, Biochemistry",Pharmacology & Therapeutics,484.0
"Pediatrics, Neurological Sciences, Biochemistry",Neurosciences,484.0
"Pediatrics, Neurological Sciences, Biochemistry","Pediatrics, Neurology",484.0
"Pediatrics, Neurological Sciences, Biochemistry",Pediatrics and Neurology,484.0
"Pediatrics, Neurological Sciences, Biochemistry","Pediatrics, Neurology, Neurosciences, Genetic Center, Translational Research, Neurological Sciences, Biochemistry, Clinical Pharmacology & Therapeutics",242.0
"Pediatrics, Neurological Sciences, Biochemistry",Genetic Center,484.0
Infectious Diseases and Tropical Medicine,Traditional Medicine,4.0
Infectious Diseases and Tropical Medicine,Gastroenterology and Liver Diseases,4.0
Infectious Diseases and Tropical Medicine,Pharmacy,2.0
Infectious Diseases and Tropical Medicine,Traditional Pharmacy,2.0
Infectious Diseases and Tropical Medicine,Clinical Pharmacology,52.0
Infectious Diseases and Tropical Medicine,Medical Statistics,26.0
Infectious Diseases and Tropical Medicine,Immunodeficiency Research,8.0
Infectious Diseases and Tropical Medicine,Child Growth and Development,8.0
Infectious Diseases and Tropical Medicine,Metabolic Liver Disease,8.0
Infectious Diseases and Tropical Medicine,Epidemiology and Biostatistics,8.0
Infectious Diseases and Tropical Medicine,Chronic Respiratory Diseases,8.0
Infectious Diseases and Tropical Medicine,Medicine,8.0
Infectious Diseases and Tropical Medicine,Internal Medicine,32.0
Infectious Diseases and Tropical Medicine,Cardiovascular Research,8.0
Infectious Diseases and Tropical Medicine,Clinical Toxicology,8.0
Infectious Diseases and Tropical Medicine,Rheumatology,64.0
Infectious Diseases and Tropical Medicine,Laboratory Medicine,16.0
Infectious Diseases and Tropical Medicine,Radiology,2.0
Infectious Diseases and Tropical Medicine,Emergency Medicine,2.0
Infectious Diseases and Tropical Medicine,Aerospace and Sub-Aquatic Medicine,8.0
Infectious Diseases and Tropical Medicine,Immunology,2.0
Infectious Diseases and Tropical Medicine,Health Promotion,2.0
Infectious Diseases and Tropical Medicine,Infectious Disease Research Center,2.0
Biostatistics and Computational Biology,Surgery,6.0
Biostatistics and Computational Biology,Gene Structure and Function,2.0
Biostatistics and Computational Biology,Natural and Mathematical Sciences,2.0
Biostatistics and Computational Biology,Social Work,4.0
Biostatistics and Computational Biology,Biomedical Science,4.0
Biostatistics and Computational Biology,Family Research,16.0
Biostatistics and Computational Biology,Obstetrics and Gynecology,20.0
Biostatistics and Computational Biology,Psychology,12.0
Biostatistics and Computational Biology,Biostatistics and Epidemiology,4.0
Biostatistics and Computational Biology,Environmental and Occupational Health Sciences,4.0
Biostatistics and Computational Biology,Neuroscience,4.0
Biostatistics and Computational Biology,Psychiatry,4.0
"Digestive Care and Endoscopy, Medicine, Community Health and Epidemiology",Gastroenterology,4.0
"Digestive Care and Endoscopy, Medicine, Community Health and Epidemiology",IBD (Inflammatory Bowel Disease),2.0
Human Movement Sciences,Sport & Exercise Science,2.0
Human Movement Sciences,Behavioral Health and Nutrition,2.0
Human Movement Sciences,Education,6.0
Human Movement Sciences,Federal University of Rio Grande do Sul,2.0
Human Movement Sciences,Human Movement,4.0
Human Movement Sciences,Educational Studies,2.0
Human Movement Sciences,Sports Sciences Health Sciences Human Development,2.0
Human Movement Sciences,Nutrition,4.0
Human Movement Sciences,Biosciences,2.0
Human Movement Sciences,Kinesiology,2.0
Human Movement Sciences,Occupational Therapy,8.0
Human Movement Sciences,Behavioral and Social Sciences,4.0
Material Science and Chemical Engineering,Biology and Biological Engineering,8.0
Material Science and Chemical Engineering,Chemical and Pharmaceutical Engineering,24.0
Material Science and Chemical Engineering,Flexible Electronics,12.0
Material Science and Chemical Engineering,Applied Organic Chemistry,12.0
Child Health Innovation Institute,Maternal-Fetal Medicine,4.0
Child Health Innovation Institute,Health and Family Medicine,4.0
Child Health Innovation Institute,Education,4.0
Child Health Innovation Institute,"Maternal-Fetal Medicine, Obstetrics and Gynecology, Child Health Innovation",4.0
Entomology; Ecology & Evolutionary Biology,"Systematics, Evolution, Biodiversity",4.0
Entomology; Ecology & Evolutionary Biology,Invertebrate Zoology,2.0
Radioquímica,Environmental Radioactivity,2.0
Radioquímica,Climate Science,4.0
Radioquímica,Earth Sciences,2.0
Health Science and Research,Health Science,2.0
Health Science and Research,Botany,2.0
Health Science and Research,Zoology,2.0
Health Science and Research,Pharmaceutical Engineering,2.0
Health Science and Research,Anatomy,2.0
Health Policy,Public Health,92.0
Health Policy,Statistical Methods,2.0
Health Policy,Population Health Management,2.0
Health Policy,Health Services Management,2.0
Health Policy,Health Economics,4.0
Health Policy,Executive Management,2.0
Health Policy,Transportation and Civil Engineering,2.0
Health Policy,Social and Political Sciences,4.0
Health Policy,Oncology,6.0
Health Policy,Biopharmaceutics—Pharmacokinetics,6.0
Health Policy,Pediatrics,14.0
Health Policy,Economics,2.0
Health Policy,Medical Research,10.0
Health Policy,Health Policy & Management,2.0
Health Policy,Global Health,12.0
Health Policy,Medicine and Health,6.0
Health Policy,Cardiovascular Medicine,2.0
Health Policy,Kinesiology,2.0
Health Policy,Neuroscience,2.0
Health Policy,Generational Health and Ageing,2.0
Health Policy,Emergency Medicine,6.0
Health Policy,Pediatric Infectious Diseases,2.0
Health Policy,"Emergency Medicine, Hospital Medicine, Pediatrics",4.0
Health Policy,Hospital Medicine,2.0
Health Policy,Critical Care,2.0
Health Policy,Infectious Diseases,2.0
Health Policy,Epidemiology and Biostatistics,4.0
Health Policy,"Transport, Health and Urban Design",4.0
Health Policy,Health Strategy and Policy,16.0
Health Policy,Health Systems and Policies,8.0
Health Policy,"Cancer Outcomes, Research and Evaluation",2.0
Health Policy,Cancer Therapy,2.0
Health Policy,Thoracic Medicine and Lung Transplantation,2.0
Health Policy,Clinical Medicine,2.0
Health Policy,Thoracic Medicine,2.0
Health Policy,Medicine,2.0
Health Policy,Population Health,2.0
Soil Microbial Ecology,Biology and Ecology,8.0
Soil Microbial Ecology,Biochemistry and Molecular Biology,8.0
"Agricultural Research, Education and Extension Organization",Animal Science,12.0
Microstructure and Properties of Solids,Petroleum Exploration & Development,16.0
Microstructure and Properties of Solids,Chemistry and Chemical Engineering,8.0
"Biology, Medicine and Health","Biology, Medicine, Health",4.0
Health Sciences and Technologies,Medical Oncology,4.0
Health Sciences and Technologies,Molecular Oncology and Viral Pathology,2.0
Health Sciences and Technologies,Radiotherapy,4.0
Health Sciences and Technologies,Pathologic Anatomy,4.0
Health Sciences and Technologies,Biomedical Research,8.0
Health Sciences and Technologies,Chemistry,12.0
Health Sciences and Technologies,Biological Sciences,2.0
Health Sciences and Technologies,Chemical and Biological Engineering,2.0
Health Sciences and Technologies,"Biological, Geological and Environmental Sciences",4.0
Health Sciences and Technologies,"Civil, Chemical Environmental and Materials Engineering",2.0
Health Sciences and Technologies,Pharmacy and Biotechnology,12.0
Health Sciences and Technologies,Electronics Technology,8.0
Health Sciences and Technologies,Health and Kinesiology,14.0
Health Sciences and Technologies,Human Movement and Rehabilitation,28.0
Health Sciences and Technologies,Medical Sciences,196.0
Health Sciences and Technologies,Rehabilitation Sciences,70.0
Health Sciences and Technologies,Physical Therapy,28.0
Health Sciences and Technologies,Kinesiology,42.0
Industrial Dust Control and Occupational Health,Safety Science and Engineering,72.0
Industrial Dust Control and Occupational Health,Mining Response and Disaster Prevention and Control,72.0
Industrial Dust Control and Occupational Health,Mining Engineering,12.0
"Mechanics, Multiphysics, Multiscale",Drug Delivery Systems and Biomaterials,8.0
Natural Sciences and Psychology,Entomology,8.0
Natural Sciences and Psychology,Vector Biology,6.0
Natural Sciences and Psychology,Health Studies,4.0
Natural Sciences and Psychology,Infectious Diseases,4.0
Elemental and Isotopic Analysis,Nuclear Research,4.0
Elemental and Isotopic Analysis,Compounds,2.0
Elemental and Isotopic Analysis,Radioactive Isotopes and Generators,2.0
Elemental and Isotopic Analysis,Accelerators and Ion Sources,2.0
"Diabetes, Endocrinology & Gastroenterology",Cancer Sciences,4.0
Formulation and Processing,Biomedical Engineering,6.0
Formulation and Processing,Pharmacy,2.0
Haematology-Oncology,Onco-Hematology,6.0
Haematology-Oncology,Orthopedic,2.0
Haematology-Oncology,Hematology and Oncology,4.0
Haematology-Oncology,Pediatrics,2.0
Haematology-Oncology,Hematology Oncology,2.0
Haematology-Oncology,Hematology/Oncology,2.0
Haematology-Oncology,Radiotherapy,2.0
Haematology-Oncology,Medical Oncology,6.0
Haematology-Oncology,Pediatric Haematology Oncology,2.0
Haematology-Oncology,Oncology,12.0
Haematology-Oncology,Sarcoma,2.0
Haematology-Oncology,Paediatric Haematology and Oncology,2.0
Haematology-Oncology,Chemotherapy,2.0
Haematology-Oncology,Gynecology and Gynecological Oncology,6.0
Haematology-Oncology,Breast and Colorectal Cancer,8.0
Haematology-Oncology,Cancer Care,2.0
Haematology-Oncology,Breast Health,2.0
Haematology-Oncology,Cancer Institute,6.0
Haematology-Oncology,Haematology and Oncology,2.0
Haematology-Oncology,Haematology and Oncology; Breast Group; Biological Science,2.0
Haematology-Oncology,Cancer Center,12.0
Haematology-Oncology,Cancer Research,2.0
Haematology-Oncology,Breast Unit,2.0
Haematology-Oncology,Oncology/Pathology,4.0
Haematology-Oncology,Oncology and Radiotherapy,2.0
Haematology-Oncology,Cancer Science,2.0
Haematology-Oncology,Cancer Centre,2.0
Haematology-Oncology,Cancer,2.0
Haematology-Oncology,Breast Oncology,2.0
Haematology-Oncology,Cancer Trials,2.0
Haematology-Oncology,Statistics and Data Center,2.0
Haematology-Oncology,"Breast and Colorectal Cancer, Medical Science",2.0
Plant Technology,Animal Husbandry and Feed Production,4.0
Plant Technology,Agrotechnologies and Ecology,2.0
Plant Technology,"Entrepreneurship, Trade and Stock-Taking Activities",2.0
Plant Technology,Agrobiotechnologies,2.0
Plant Technology,Soil Science and Agriculture,2.0
Network and Infrastructure Management,Electrical and Electronics Engineering,6.0
Network and Infrastructure Management,Information Technology,2.0
Network and Infrastructure Management,Electronics and Communication Engineering,2.0
Physical Chemistry and Surface Reactivity,Chemistry,42.0
